artist,twitter,instagram,facebook,spotify,soundcloud,youtube
Chuck Inglish,90014,44380,21164,22366,21163,12166
Cozz,52827,76729,30313,47895,20495,46539
Young Fathers,82594,20893,75601,81649,22728,27650
Charisma.com,21534,9459,14137,8960,0,27511
Broods,56757,86282,234659,325048,67881,189195
Kate Tempest,54956,15775,104843,62282,11519,11291
Damon Albarn,248142,291104,400322,162586,93646,69315
TV Girl,5972,0,21182,38789,11367,0
Banks,485957,475502,470098,660810,1019283,356483
Got a Girl,3413,2454,4772,4300,0,1214
Bas,106812,0,83725,93671,92729,111702
Cash Out,39157,0,0,7436,48134,0
K.Flay,58365,83095,121292,170027,1715637,180612
Gesu no Kiwami Otome,0,0,0,70927,0,0
MKTO,217584,94346,503619,514205,32126,27246
Kevin Abstract,325598,4155,13876,130986,39993,0
YG,3043658,3747352,3800528,1089625,134193,2186588
Iggy Azalea,8098586,11335718,7520680,2935837,1170659,5297246
Tiny Doo,0,0,0,384,0,0
Stalley,217551,296379,204323,71625,26302,0
PE 2.0,0,0,0,0,0,0
Ghetts,704,147890,123269,52213,3675,25062
Sage the Gemini,272622,620888,1060664,486979,36279,1052731
Shtar Academy,0,0,10129,1207,0,0
Iamsu!,145865,282471,506583,147282,73607,0
Sisyphus,1597,111,7016,10300,5376,717
Ratking,21017,0,32022,22087,0,5598
Manny Phesto,0,0,0,610,0,0
August Alsina,1061949,6069399,2922813,1186724,1036872,1741929
Cassper Nyovest,1743528,1906726,2454029,21373,18765,37230
Logic,2410726,4634332,41307,2281763,396565,1163718
DJ DX,227694,31577,31597,2215,229,5828
Yung Lean,196749,656885,351274,273034,321163,557798
Anderson .Paak,323980,535843,277805,601921,200361,161381
Teyana Taylor,1198615,6367067,1879766,240644,7109,107892
BTS,14391241,9790746,6373148,4171884,899045,7756558
Awkwafina,40567,107924,48918,20696,11974,53899
Fifi Cooper,0,0,0,474,0,0
Raury,298303,0,0,123524,100176,75525
Boots,111904,0,0,11551,109140,362056
Joey Badass,904739,1499433,799211,936734,110747,1012
Kriswontwo,9953,22789,0,173,9301,856
Dreamteam,0,0,0,34,0,0
Heems,40240,16724,8406,12324,4374,309
Omen,47176,0,37898,2786,9458,1438
Riky Rick,803763,1066943,1086143,9582,0,9257
Markis Precise,0,0,0,216,0,0
Fetty Wap,793610,5609132,1143188,2994351,554609,2752534
Nekfeu,1404723,1243761,1004636,535479,49425,1117145
Ty Dolla Sign,1424211,3704558,2930958,1684644,357209,2029576
King Los,266309,211726,144600,41987,30417,92623
Kirk Knight,92593,144621,32145,48554,25203,0
Wiki,16673,0,0,9276,0,0
Casey Veggies,329962,186664,144073,160446,85094,27896
Injury Reserve,17298,17816,11022,47275,13084,19652
Gunplay,177094,262964,175627,49328,3128,29544
Mod Sun,677855,400993,0,74674,65168,107787
Red Pill,5244,0,26967,8,0,189948
Fleur East,248782,434452,297996,131955,0,5039
NF,261575,701278,385437,888913,107089,1698825
Empress Of,19620,21018,25610,34372,14995,7608
Kat Dahlia,132818,80540,160749,205739,39163,449632
Ivy Levan,24949,74333,67186,18613,2826,58805
K Camp,42,803349,913239,712838,244006,203330
Raz Fresco,8474,6891,5764,1435,4803,8941
Lil Dicky,465124,1436233,769126,801312,288165,2870231
Lil Durk,2791489,8873,1419019,635622,54802,11795
Travis Scott,3445733,8939947,0,2592809,1247249,1990148
Bodega Bamz,38449,54810,18946,25970,29847,20314
K.O,1130799,166951,176916,4225,0,203901
Drique London,0,0,0,12,0,0
Rae Sremmurd,679723,0,3025528,3084033,497189,6212890
Vince Staples,897189,553297,167568,562618,82622,244333
Donnie Trumpet & The Social Experiment,0,0,0,81670,38,0
Bryson Tiller,2326842,5026544,1377077,2397676,903358,1620705
Chinx,135800,301320,189175,100748,0,87068
Rock City,0,0,0,492,0,0
Robb Banks,96959,117119,0,1106,142439,33871
