artist,album,single_count
Danielle Bradbery,Danielle Bradbery,2
Haim,Days Are Gone,6
Jason van Wyk,Days You Remember,0
Sworn In,The Death Card,0
Solamors,Depravity's Demise,0
Raven Lord,Descent to the Underworld,0
Device,Device,2
Ed Roland and the Sweet Tea Project,Devils 'n Darlins,1
Hot Natured,Different Sides of the Sun,4
Spekti,Diktaattorimies,3
Sound of Contact,Dimensionaut,2
Krista Siegfrids,Ding Dong!,3
Angel Haze,Dirty Gold,2
Phildel,The Disappearance of the Girl,0
Daniel Padilla,DJP,1
Ejecta,Dominae,3
Tiger Bell,Don't Wanna Hear About Your Band!,0
Earl Sweatshirt,Doris,3
Shine Bright Baby,Dreamers,0
Drenge,Drenge,0
Friendzone,DX,0
CREƎP,Echoes,6
Maite Perroni,Eclipse de Luna,6
Karl Hyde,Edgeland,2
Gotay,El Del Vibrato,2
Gabrielle Aplin,English Rain,5
Forest Swords,Engravings,0
Freddie Gibbs,ESGN,1
The Digital Age,Evening:Morning,0
Everfound,Everfound,0
Modestep,Evolution Theory,4
French Montana,Excuse My French,3
Shama Rahman,Fable:Time,0
Factory Floor,Factory Floor,2
The Fall Risk,"The Fall Risk, Volume No. 1",0
Autumn Hill,Favourite Mistake,4
S7N,Fearless,2
Pity Sex,Feast of Love,0
Deap Vally,Femejism,2
Fidlar,Fidlar,1
Seduce the Heaven,Field of Dreams,0
Denise Rosenthal,Fiesta,6
Heaven's Basement,Filthy Empire,2
State Champs,The Finer Things,0
Starkill,Fires of Life,0
Lee Hi,First Love,4
Havana Brown,Flashing Lights,3
Fatin Shidqia,For You,6
Cassadee Pope,Frame by Frame,2
Magnus Karlsson's Free Fall,Free Fall,0
Loadstar,Future Perfect,2
HBK Gang,Gang Forever,0
William Beckett,Genuine & Counterfeit,1
Krewella,Get Wet,5
Leslie Clio,Gladys,5
Dre Murray,Gold Rush: Maybe One Day,0
Woodkid,The Golden Age,3
Butcher Babies,Goliath,3
Ghost Ship,The Good King,0
Tasha Cobbs,Grace,2
SULK,Graceless,4
Jontte Valosaari,Haastaja,2
Kirstine Stubbe Teglbjærg,Hamskifte,0
Hannah Rose,Hannah Rose,0
No Malice,Hear Ye Him,0
Steve Hare,Cast My Cares,0
Newsted,Heavy Metal Music,0
JKT48,Heavy Rotation,0
Willy Moon,Here's Willy Moon,2
Janet Devlin,Hide & Seek,1
Sturgill Simpson,High Top Mountain,1
The Uncluded,Hokey Fright,0
Rudimental,Home,8
Naughty Boy,Hotel Cabana,5
The Neighbourhood,I Love You.,4
Daughter,If You Leave,3
London Grammar,If You Wait,7
Richard & Adam,The Impossible Dream,0
Kodaline,In a Perfect World,5
Capital Cities,In a Tidal Wave of Mystery,4
Guards,In Guards We Trust,1
Peace,In Love,4
Volto!,Incitare,0
Samo,Inevitable,3
Public Service Broadcasting,Inform - Educate - Entertain,5
Wild Belle,Isles,0
Thomas Rhett,It Goes Like This,5
Megan Hilty,It Happens All The Time,1
Jackie Thomas,Jackie Thomas,1
James Arthur,James Arthur,4
John Wizards (musical group),John Wizards,2
Kavka Shishido,Kavkanize,6
Andrew Stockdale,Keep Moving,1
The Virginmarys,King of Conflict,0
Crash of Rhinos,Knots,0
Infinite,Koi ni Ochiru Toki,3
Avalon,The Land of New Hope,0
Wilkinson,Lazers Not Included,7
Leanne Mitchell,Leanne Mitchell,1
E-girls,Lesson 1,5
Letherette,Letherette,0
"Tony Levin, Marco Minnemann & Jordan Rudess",Levin Minnemann Rudess,0
Myka Relocate,Lies to Light the Way,0
Burna Boy,L.I.F.E - Leaving an Impact for Eternity,5
Rittz,The Life and Times of Jonny Valiant,1
Transparent,Light in Darkness,0
Silverline,Lights Out,1
Lizzo,Lizzobangers,0
Alex Sirvent,Lo mejor que me pasó en la vida,0
LoCash Cowboys,LoCash Cowboys,4
Stooshe,London with the Lights On,32
The Lone Bellow,The Lone Bellow,0
Tom Odell,Long Way Down,5
ASAP Rocky,Long. Live. ASAP,4
Lizzy's Husband,A Loud Silence,2
R5,Louder,4
Silente,Lovac na čudesa,0
Hyolyn,Love & Hate,2
Love & the Outcome,Love & the Outcome,0
Citizen Way,Love Is the Evidence,2
Jahméne Douglas,Love Never Fails,2
James Skelly & The Intenders,Love Undercover,2
Gemini Syndrome,Lux,4
Christopher Owens,Lysandre,0
Jessica Sanchez,"Me, You & the Music",1
MellowHigh,MellowHigh,2
Melt Yourself Down,Melt Yourself Down,0
Johnny Marr,The Messenger,0
Colton Dixon,A Messenger,3
Glenn Robinson,Modern Mistakes,0
Clarice Falcão,Monomania,4
Moon Hooch,Moon Hooch,0
Natalie Maines,Mother,0
Treetop Flyers,The Mountain Moves,1
Boldy James,My 1st Chemistry Set,2
Tony Scalzo,My Favorite Year,0
Jarren Benton,My Grandma's Basement,1
Pusha T,My Name Is My Name,5
Papoose,The Nacirema Dream,3
Natália Kelly,Natália Kelly,2
The Neverclaim,The Neverclaim,0
PJ Morton,New Orleans,2
Troy Ave,New York City: The Album,0
Mack Wilds,New York: A Love Story,1
Sky Ferreira,"Night Time, My Time",2
Nina Rodríguez,Nina Rodríguez,1
Inc. No World,No World,2
Teen Top,No. 1,2
Noah,Noah,4
Mary Dillon,North,1
Lapalux,Nostalchic,2
Denzel Curry,Nostalgic 64,0
Emblem3,Nothing to Lose,2
Jenni Pulos,Old School Kids Beats,0
Tiwa Savage,Once Upon a Time,7
Emmelie de Forest,Only Teardrops,2
Casseurs Flowters,Orelsan et Gringe sont les Casseurs Flowters,1
Beware of Darkness,Orthodox,2
The History of Apple Pie,Out of View,4
April Weeps,"Outer Calm, Pain Within",0
Kavinsky,OutRun,1
Palms,Palms,0
Mayra,Parece Amor,1
Ghost Town,Party in the Graveyard,6
Vista Chino,Peace,0
Sharon Needles,PG-13,0
Everything in Slow Motion,Phoenix,0
Nine Muses,Prima Donna,1
Darkside,Psychic,0
La Femme,Psycho Tropical Berlin,0
PUP,PUP,0
Lorde,Pure Heroine,4
Valerie June,Pushin' Against a Stone,0
Necrowretch,Putrid Death Sorcery,0
Marcus Reeves,Quicksilver - The Masquerade Macabre,4
Hilly Eye,Reasons to Live,0
K. Michelle,Rebellious Soul,2
Tyler Farr,Redneck Crazy,4
Mike Stud,Relief,0
Soulfire Revolution,Revival,0
Wallpaper.,Ricky Reed Is Real,2
The Belle Game,Ritual Tradition Habit,0
Charlie Worsham,Rubberband,2
The Julie Ruin,Run Fast,0
The Ongoing Concept,Saloon,0
Tuomas Kauhanen,Sano vaan Tuomas,0
Stagecoach,Say Hi to the Band,3
Scar the Martyr,Scar the Martyr,2
MS MR,Secondhand Rapture,4
Ark of the Covenant,Self Harvest,0
Disclosure,Settle,6
MONEY,The Shadow of Heaven,5
Shehyee,Shehyee,0
Mallory Knox,Signals,5
Savages,Silence Yourself,0
Laura Mvula,Sing to the Moon,3
Colette Carr,Skitszo Collection,20
Every Knee Shall Bow,Slayers of Eden,0
Snakadaktal,Sleep in the Water,2
Small Town Pistols,Small Town Pistols,4
The Strypes,Snapshot,5
Flavel & Neto,So um tempo,3
SOLΞ MIO,SOLΞ MIO,0
Stop Dead,Some Kind Of Dangerous,0
Isabella Castillo,Soñar no Cuesta Nada,1
Magic Eight Ball,Sorry We're Late But We're Worth The Wait,2
Dirty South,Speed of Life,1
Jacky Vincent,Star X Speed Story,0
Starbomb,Starbomb,21
Selena Gomez,Stars Dance,2
Stars in Stereo,Stars in Stereo,2
The Paper Kites,States,3
Gerilja,Step Up Your Game,0
Studio Killers,Studio Killers,5
Yancey Boys,Sunset Blvd.,1
Svenstrup & Vendelboe,Svenstrup & Vendelboe,7
Something Awful,Taking Lives,0
Morna,A Tale of Woe,0
Gloryhammer,Tales from the Kingdom of Fife,0
Echosmith,Talking Dreams,5
Tate Stevens,Tate Stevens,2
Taylor Henderson,Taylor Henderson,1
The Temperance Movement,The Temperance Movement,0
NMB48,Teppen Tottande!,0
Celia Pavey,This Music,0
Alee,This Road Goes Everywhere,4
Tim Hicks,Throw Down,4
Luke Kennedy,A Time for Us,1
Parasite Inc.,Time Tears Down,0
Alex Hepburn,Together Alone,2
Torres,TORRES,0
ASAP Ferg,Trap Lord,3
Mr Probz,The Treatment,3
John Newman,Tribute,4
Haiku Salut,Tricolore,0
Avicii,True,5
Charli XCX,True Romance,5
Illion,Ubu,2
Jon Connor,Unconscious State,0
Krypts,Unending Degradation,0
Those Who Fear,Unholy Anger,0
Union J,Union J,3
A Friend in London,Unite,4
Aranza,Vivir a Destiempo,0
Youngblood Hawke,Wake Up,2
Isac Elliot,Wake Up World,2
Philip H. Anselmo & The Illegals,Walk Through Exits Only,0
Tom Keifer,The Way Life Goes,0
Sensato del Patio,We Ain't Even Supposed 2 B Here,6
Myname,We Are Myname,4
Rock Candy Funk Party,We Want Groove,0
How to Destroy Angels,Welcome oblivion,1
Dayseeker,What It Means to Be Defeated,0
Atlas Genius,When It Was Now,3
St. Lucia,When the Night,0
The World Is a Beautiful Place & I Am No Longer Afraid to Die,"Whenever, If Ever",0
Swim Deep,Where the Heaven Are We,4
Lucius,Wildewoman,0
The Winery Dogs,The Winery Dogs,0
Wintergatan,Wintergatan,0
oOoOO,Without Your Love,0
W.L.A.K.,W.L.A.K.,0
Rhye,Woman,2
Vaadat Charigim,The World Is Well Lost,0
Iron Reagan,Worse Than Dead,0
Shane Filan,You and Me,3
Leagues,You Belong Here,0
Ariana Grande,Yours Truly,3
Citizen,Youth,0
Zendaya,Zendaya,1
Zara Larsson,1,4
3Teeth,3TEETH,0
5 Seconds of Summer,5 Seconds of Summer,4
DJ Mustard,10 Summers,1
Eduardo,A Fantástica Fábrica de Cadáver,0
Knife Party,Abandon Ship,3
Margaret,Add the Blonde,5
Fever Fever,Aftermath,0
Rob Lynch,All These Nights in Bars Will Somehow Save My Soul,0
Alvvays,Alvvays,3
Angaleena Presley,American Middle Class,0
Andreas Varady,Andreas Varady,0
Jeremy Loops,Sheer Sound,0
Andrew McMahon in the Wilderness,Andrew McMahon in the Wilderness,2
Anja Nissen,Anja Nissen,4
The Wytches,Annabel Dream Reader,0
Tinashe,Aquarius,3
Ellie Holcomb,As Sure as the Sun,0
Jason Lancaster,As You Are,1
Joke,Ateyaba,7
Babymetal,Babymetal,6
Catfish and the Bottlemen,The Balcony,7
Sir Michael Rocks,Banco,1
Banda do Mar,Banda do Mar,0
Devil You Know,The Beauty of Destruction,2
Magic Man,Before the Waves,0
In The Valley Below,The Belt,1
Benjamin Booker,Benjamin Booker,1
Hamilton Leithauser,Black Hours,0
Untold,Black Light Spiral,0
Lo-Fang,Blue Film,1
The Preatures,Blue Planet Eyes,0
Blues Pills,Blues Pills,2
Sheppard,Bombs Away,5
Antemasque,Antemasque,4
Benny Tipene,Bricks,3
Azealia Banks,Broke with Expensive Taste,4
Sleepwave,Broken Compass,0
Chet Faker,Built on Glass,3
Ashley Roberts,Butterfly Effect,2
California Breed,California Breed,0
Damián Anache,Capturas del Único Camino,0
The Underachievers,Cellar Door: Terminus ut Exordium,0
Christine and the Queens,Chaleur humaine,7
Ella Henderson,Chapter One,4
Chris Webby,Chemically Imbalanced,5
City Harbor,City Harbor,0
Clipping,CLPPNG,0
Cole Swindell,Cole Swindell,4
The Colourist,The Colourist,2
The Common Linnets,The Common Linnets,2
Conquering Dystopia,Conquering Dystopia,0
Chuck Inglish,Convertibles,3
Tessanne Chin,Count On My Love,2
Cozz,Cozz & Effect,4
Traci Braxton,Crash & Burn,2
Crosses,Crosses,2
Karen O,Crush Songs,1
The Wah Wah Collective,Cry Baby Soul,2
September Girls,Cursing the Sea,0
JUL,Dans ma paranoïa,1
Darren Espanto,Darren,3
Lonely the Brave,The Day's War,3
Daley,Days & Nights,2
Young Fathers,Dead,0
Beatrice Eli,Die Another Day,2
Beartooth,Disgusting,3
Charisma.com,Distopping,3
Magic!,Don't Kill the Magic,4
Flight Facilities,Down to Earth,6
Drowners,Drowners,0
Taylor McFerrin,Early Riser,1
Khun Narin,Electric Phin Band,0
Vinyl Theatre,Electrogram,3
Avey Tare's Slasher Flicks,Enter the Slasher House,1
Eric Paslay,Eric Paslay,4
"Invent, Animate",Everchanger,0
Broods,Evergreen,3
Kate Tempest,Everybody Down,0
The Struts,Everybody Wants,3
Damon Albarn,Everyday Robots,5
Kurt Travis,Everything Is Beautiful,1
Fairies,Fairies,7
Thompson,Family,0
Kye Kye,Fantasize,0
Luke Sital-Singh,The Fire Inside,0
Mystery Skulls,Forever,4
Afrojack,Forget the World,4
Duo de Twang,Four Foot Shack,0
Freeman,Freeman,0
TV Girl,French Exit,1
Fréro Delavega,Fréro Delavega,1
Ward Thomas,From Where We Stand,4
Foxes,Glorious,4
Tensnake,Glow,4
Gnarwolves,Gnarwolves,1
Banks,Goddess,4
Doug Seegers,Going Down to the River,0
Kim Dotcom,Good Times,0
Milica Pavlović,"Govor tela
Body Language",8
The Madden Brothers,Greetings from California,12
Nothing,Guilty of Everything,1
Haerts,Haerts,1
Hard Working Americans,Hard Working Americans,0
Phil Rudd,Head Job,0
Leighton Meester,Heartstrings,1
Little Daylight,Hello Memory,1
Erica Campbell,Help,3
Gerard Way,Hesitant Alien,2
Tim Campbell,High School Disco,0
Ludmilla,Hoje,5
Kian Egan,Home,2
Max Collins,Honey from the Icebox,1
Steven James Adams,House Music,0
Hozier,Hozier,7
Fatherson,I Am an Island,0
Oscar Zia,I Don't Know How to Dance,3
Loftland,I Don't Want to Dance,0
Got a Girl,I Love You but I Must Drive Off This Cliff Now,2
Moose Blood,"I'll Keep You in Mind, from Time to Time",0
Vianney,Idées blanches,5
Chase Rice,Ignite the Night,3
'68,In Humor and Sadness,0
Nicholas McDonald,In the Arms of an Angel,1
Sam Smith,In the Lonely Hour,7
Elise Testone,In This Life,0
Ella Hooper,In Tongues,3
Electric Youth,Innerworld,0
The Nearly Deads,Invisible Tonight,0
Issues,Issues,3
Alex & Sierra,It's About Us,2
Todd Terje,It's Album Time,6
John Garcia,John Garcia,0
Jungle,Jungle,4
Kathryn Bernardo,Kathryn,3
Kendji Girac,Kendji,7
Khiyo,Khiyo: Bengali Music with a London Sound,0
Killer Be Killed,Killer Be Killed,1
Yemi Alade,King of Queens,6
Kitten,Kitten,0
Bad Suns,Language & Perspective,3
I Divide,Last One Standing,0
Bas,Last Winter,0
Leslie Odom Jr.,Leslie Odom Jr.,0
Cash Out,Let's Get It,3
Elisa Lindström,Leva,0
K.Flay,Life As A Dog,0
Jess Moskaluke,Light Up the Night,4
Justice Crew,Live by the Words,6
Gloryhound,Loaded Gun,0
Dirty Loops,Loopified,0
Lords of Black,Lords of Black,0
Sumo Cyco,Lost in Cyco City,8
Lea Michele,Louder,2
Lowtide,Lowtide,3
FKA Twigs,LP1,3
Luicidal,Luicidal,0
Abandon All Ships,Malocchio,2
Real Friends,Maybe This Place Is the Same and We're Just Changing,3
McBusted,McBusted,2
The Vamps,Meet the Vamps,5
Flower Flower,Mi,3
Indila,Mini World,5
Gesu no Kiwami Otome,Miryoku ga Sugoi yo,3
Missing Persons,Missing In Action,1
MKTO,MKTO,5
Far from Alaska,modeHuman,3
Dillon Francis,"Money Sucks, Friends Rule",7
Sam Hunt,Montevallo,5
Morgan Evans,Morgan Evans,0
Lewis Watson,The Morning,0
Kevin Abstract,MTV1987,2
Tuomas Holopainen,Music Inspired by the Life and Times of Scrooge,1
Candice Glover,Music Speaks,1
YG,My Krazy Life,4
Nadine Lustre,Nadine Lustre,4
Nathan East,Nathan East,0
Crowder,Neon Steeple,3
Klangkarussell,Netzwerk,3
Iggy Azalea,The New Classic,5
Clean Bandit,New Eyes,8
Black Submarine,New Shores,2
Silent Planet,The Night God Slept,0
Puss n Boots,"No Fools, No Fun",1
Phyno,No Guts No Glory,4
MØ,No Mythologies to Follow,7
Tiny Doo,No Safety,0
The Split Squad,Now Hear This...,0
The Fooo,Off the Grid,2
American Authors,"Oh, What a Life",3
Stalley,Ohio,3
Abated Mass of Flesh,The Omen King,0
Laura Dickinson,One for My Baby – To Frank Sinatra with Love,0
Isleym,Où ça nous mène,3
PartyNextDoor,PartyNextDoor Two,3
PE 2.0,People Get Ready,0
Nina Nesbitt,Peroxide,1
Akdong Musician,Play,3
Sam Bailey,The Power of Love,2
Robin Schulz,Prayer,4
Pentatonix,"PTX, Vols. 1 & 2",0
Karmin,Pulses,2
Hua Chenyu,Quasimodo's Gift,0
Tove Lo,Queen of the Clouds,4
Ghetts,Rebel With a Cause,4
Skrillex,Recess,4
Fred V & Grafix,Recognise,2
Sage the Gemini,Remember Me,5
Ex Hex,Rips,0
Lucy Hale,Road Between,2
You+Me,rose ave.,0
Royal Blood,Royal Blood,5
Tomomi Itano,S×W×A×G,5
Leo Welch,Sabougla Voices,0
Milky Chance,Sadnecessary,3
Perfect Pussy,Say Yes to Love,0
Christon Gray,School of Roses,0
Anette Olzon,Shine,2
Shiori Niiyama,Shiori,4
Shtar Academy,Shtar Academy,1
Iamsu!,Sincerely Yours,2
Gorgon City,Sirens,6
Sisyphus,Sisyphus,1
Ratking,So It Goes,4
Emma Ruth Rundle,Some Heavy Ocean,0
Crobot,Something Supernatural,2
SoMo,SoMo,5
Jhené Aiko,Souled Out,3
Kiesza,Sound of a Woman,5
Manny Phesto,Southside Looking In,0
Collabro,Stars,0
Bulletrain,Start Talking,2
Chrissie Hynde,Stockholm,3
frnkiero andthe cellabration.,Stomachaches,3
Bleachers,Strange Desire,4
15&,Sugar,4
Tweedy,Sukierae,0
Peter Furler Band,Sun and Shield,0
Temples,Sun Structures,0
Dan Croll,Sweet Disarray,4
Sylvan Esso,Sylvan Esso,4
Alle Farben,Synesthesia - I Think in Colours,1
Betty Who,Take Me When You Go,3
Chumped,Teenage Retirement,0
Caleb Johnson,Testify,3
August Alsina,Testimony,6
Jennifer Nettles,That Girl,2
Like Monroe,"Things We Think, But Never Speak",0
Lena Katina,This Is Who I Am,4
Cassie Ramone,The Time Has Come,0
East India Youth,Total Strife Forever,0
JTR,Touchdown,1
Starset,Transmissions,3
Sohn,Tremors,0
Michael Cera,True That,0
Cassper Nyovest,Tsholofelo,3
Twin Forks,Twin Forks,0
Julian Casablancas+The Voidz,Tyranny,2
Logic,Under Pressure,2
Brutto,Underdog,2
Steffany Gretzinger,The Undoing,0
Kim Cesarion,Undressed,3
DJ DX,The Unfortunate Child,0
Madeline Juno,The Unknown,2
Yung Lean,Unknown Memory,0
Unspoken,Unspoken,0
Anderson .Paak,Venice,2
Teyana Taylor,VII,3
Islander,Violence & Destruction,3
Ben Aqua,Virtual Anticipation,0
Hari Kondabolu,Waiting for 2042,0
BTS,Wake Up,3
George Ezra,Wanted on Voyage,6
NONONO,We Are Only What We Feel,4
Devilskin,We Rise,4
The Last Internationale,We Will Reign,0
Marmozets,The Weird and Wonderful Marmozets,1
Neon Jungle,Welcome to the Jungle,5
Dan + Shay,Where It All Began,3
PVRIS,White Noise,2
Neck Deep,Wishful Thinking,3
Noosa,Wonderland,0
Porter Robinson,Worlds,4
Sarah Brusco,The Woven Whisper,0
Wovenwar,Wovenwar,3
Black Crown Initiate,The Wreckage of Stars,0
Jon Pardi,Write You a Song,4
Darkness Divided,Written in Blood,2
Justimus,Wunderboy,0
Awkwafina,Yellow Ranger,0
Grant Nicholas,Yorktown Heights,0
Young & Sick,Young & Sick,2
Glass Animals,Zaba,4
Mike Score,Zeebratta,2
Amber Run,5am,0
Fifi Cooper,20FIFI,0
AOA,Ace of Angels,3
Madeon,Adventure,5
Chiquis Rivera,Ahora,5
Algiers,Algiers,4
Steve Grand,All American Boy,4
Raury,All We Need,0
Elysia Crampton,American Drift,0
Boots,Aquaria,0
Willow,Ardipithecus,0
Emtee,Avery,5
Halsey,Badlands,4
Miss Fame,Beauty Marked,3
Joey Badass,B4.Da.$$,8
SOAK,Before We Forgot How to Dream,0
Jordan Feliz,Beloved,0
Ben Haenow,Ben Haenow,2
Act of Defiance,Birth and the Burial,3
Andee,Black and White Heart,4
Dear Rouge,Black To Gold,4
BiSH,Brand-new idol SHiT,0
The Shires,Brave,0
Amanda Cook,Brave New World,1
Canaan Smith,Bronco,2
WorshipMob,Carry the Fire,0
Viper Solfa,Carving an Icon,0
Kriswontwo,Ceremoni,0
Louane,Chambre 12,6
James Bay,Chaos and the Calm,6
Andra Day,Cheers to the Fall,0
NERVO,Collateral,12
Leon Bridges,Coming Home,2
Years & Years,Communion,8
Conchita Wurst,Conchita,4
Melanie Martinez,Cry Baby,4
Jlin,Dark Energy,0
Sumac,The Deal,0
Zoë,Debut,4
The Gentle Storm,The Diary,0
Helena Hauff,Discreet Desires,0
DIA,Do It Amazing,2
Kirby Maurier,Doing the Most,0
Børns,Dopamine,5
David J Newton,Drawing Songs,0
Dreamteam,Dreams Never Die,4
Fantine Thó,Only Human,0
Joel Hoekstra's 13,Dying to Live,0
Heems,Eat Pray Thug,0
Wes Mack,Edge of the Storm,6
Floating Points,Elaenia,3
Omen,Elephant Eyes,1
Kamasi Washington,The Epic,2
Álvaro Soler,Eterno agosto,5
Deradoorian,The Expanding Flower Planet,0
Sabrina Carpenter,Eyes Wide Open,4
Michelle Chamuel,Face the Fire,3
Riky Rick,Family Values,4
Markis Precise,The Feeling of Flying,1
Bully,Feels Like,0
Ella Eyre,Feline,4
Fetty Wap,Fetty Wap,4
Nekfeu,Feu,4
FFS,FFS,3
Maranatha,Filth,0
Markus Feehily,Fire,4
The Gray Havens,Fire and Stone,0
Juice=Juice,First Squeeze!,7
Kelsea Ballerini,The First Time,4
Ryn Weaver,The Fool,2
Alesso,Forever,6
Ty Dolla Sign,Free TC,4
Various Artists,"Fresh Filter:
Volume 1",0
Mbongwana Star,From Kinshasa,0
Fawn Spots,Safer Place,0
Acrassicauda,Gilgamesh,0
Arty,Glorious,3
King Los,"God, Money, War",4
Tobias Jesso Jr.,Goon,2
Nate Ruess,Grand Romantic,5
Chon,Grow,0
Kate Pierson,Guitars and Microphones,0
Matoma,Hakuna Matoma,3
Marie Ueda,Hanashi wa Sorekara da,2
Shawn Mendes,Handwritten,4
Wild Throne,Harvest of Darkness,0
Marcus & Martinus,Hei,8
David Duchovny,Hell or Highwater,0
Hollywood Vampires,Hollywood Vampires,0
HomeTown,HomeTown,4
DJ Hoppa,'Hoppa and Friends,0
Joywave,How Do You Feel Now?,4
Theo Fleury,I Am Who I Am,0
Jess Glynne,I Cry When I Laugh,6
The I.L.Y's,I've always been good at true love,0
Ibeyi,Ibeyi,0
Nate Mendel,If I Kill This Thing We’re All Going to Eat for a Week,0
Worriers,Imaginary Life,0
Jamie xx,In Colour,4
Revulsed,Infernal Atrocity,0
XXI,Inside Out,0
Attalus,Into the Sea,0
Tina Campbell,It's Personal,0
Jack Pack,Act Two,1
Jamie Lawson,Jamie Lawson,5
Andrea Faustini,Kelly,0
Operation: Mindcrime,The Key,5
Zella Day,Kicker,3
Alessia Cara,Know-It-All,3
Kyle Gass Band,Kyle Gass Band,0
Kirk Knight,Late Knight Special,2
Tyler Carter,Leave Your Love,3
Carl Barât and The Jackals,Let it Reign,0
Rixton,Let the Road,4
Sigma,Life,8
Once Human,The Life I Remember,0
Murder Void,Life Is Yours,1
Loudspeakers,Lighthouse,0
Wiki,Lil Me,3
Garnidelia,Linkage Ring,4
Casey Veggies,Live & Grow,2
Matthew Shipp & Mat Walerian,Live at Okuden,0
Injury Reserve,Live From the Dentist Office,0
Gunplay,Living Legend,4
Sada K.,Long Story Short,0
Mod Sun,Look Up,0
Red Pill,Look What This World Did To Us,1
Annaleigh Ashford,Lost in the Stars: Live at 54 Below,1
John Carpenter,Lost Themes,0
Kwabs,Love + War,4
Elle King,Love Stuff,3
Fleur East,"Love, Sax and Flashbacks",2
Smallpools,Lovetap,0
Myrkur,M,0
The Makemakes,The Makemakes,1
Paperi T,Malarian pelko,0
NF,Mansion,3
Empress Of,Me,4
Omi,Me 4 U,3
Old Dominion,Meat and Candy,3
Michael Ray,Michael Ray,3
Highly Suspect,Mister Asylum,2
Morgan Harper Nichols,Morgan Harper Nichols,0
Morissette Amon,Morissette,2
Kat Dahlia,My Garden,3
Wolf Alice,My Love Is Cool,5
Natalie Prass,Natalie Prass,1
As It Is,"Never Happy, Ever After",3
Dave Kerzner,New World,1
Josef Salvat,Night Swim,0
Ivy Levan,No Good,6
Indiana,No Romeo,6
Glassine,No Stairway,0
Bea Miller,Not an Apology,2
Nothing but Thieves,Nothing But Thieves,0
Oh Wonder,Oh Wonder,15
Jung Yong-hwa,One Fine Day,2
Sweet & Lynch,Only to Rise,0
K Camp,Only Way Is Up,3
MisterWives,Our Own House,2
Ginny Blackmore,Over the Moon,5
Raz Fresco,Pablo Frescobar,6
Billy Gibbons and The BFG's,Perfectamundo,0
No Devotion,Permanence,4
Galantis,Pharmacy,6
Apink,Pink Season,3
Rifftera,Pitch Black,0
Will Butler,Policy,0
Gang of Youths,The Positions,3
Seinabo Sey,Pretend,3
Sophie,Product,8
Lil Dicky,Professional Rapper,4
Lyca Gairanod,Puede Nang Mangarap,2
Shamir,Ratchet,4
Menace Beach,Ratworld,1
Real Lies,Real Life,3
Derek Johnson,Real Love,0
Finding Favour,Reborn,0
Fifth Harmony,Reflection,3
Lil Durk,Remember My Name,1
Revolution Saints,Revolution Saints,4
Jennylee,Right On!,0
Lady Lamb,Ripely Pine,0
Lane 8,Rise,5
Travis Scott,Rodeo,2
Brawlers,Romantic Errors of Our Youth,0
AURORA,Running with the Wolves - EP,1
Saint Asonia,Saint Asonia,2
"Shaban Yusuf, Joans Foster",Sajni,1
Marriages,Salome,0
Bodega Bamz,Sidewalk Exec,0
Ann Sophie,Silver Into Gold,2
Pacific Gold,Sing My Welcome Home,0
K.O,Skhanda Republic,5
Lindemann,Skills in Pills,2
Jack Ü,Skrillex and Diplo Present Jack Ü,3
DJ Paypal,Sold Out,0
Courtney Barnett,"Sometimes I Sit and Think, and Sometimes I Just Sit",4
Son Little,Son Little,0
The Wainwright Sisters,Songs in the Dark,0
Beyond the Black,Songs of Love and Death,3
Sophia Abrahão,Sophia Abrahão,1
Meg Myers,Sorry,0
Ravenhill,Soul,0
Drique London,The Manual,0
Kristian Bush,Southern Gravity,2
A Thousand Horses,Southernality,3
Julien Baker,Sprained Ankle,0
Rae Sremmurd,SremmLife,5
Maddie & Tae,Start Here,4
Vince Staples,Summertime '06,3
Cheerleader,The Sunshine of Your Youth,0
Winter,Supreme Blue Dream,0
Donnie Trumpet & The Social Experiment,Surf,3
Swiss Lips,Swiss Lips,0
"Symphony Number One, Jordan Randall Smith",Symphony Number One,0
Weak13,They Live,0
Beach Slang,The Things We Do to Find People Who Feel Like Us,0
Jarryd James,Thirty One,4
Emily Kinney,This Is War,2
Joe Moore,A Thousand Lifetimes,2
Cold Creek County,Till the Wheels Come Off,4
Mikky Ekko,Time,2
Meghan Trainor,Title,4
Tom DeLonge,"To the Stars... Demos, Odds and Ends",2
Nogizaka46,Tōmei na Iro,10
Rhiannon Giddens,Tomorrow Is My Turn,0
Bryson Tiller,Trapsoul,3
Chris Stapleton,Traveller,3
Tori Kelly,Unbreakable Smile,3
Rae Morris,Unguarded,7
Hardwell,United We Are,7
Cam,Untamed,3
Tangerine Circus,Urania,0
X Ambassadors,VHS,4
Viet Cong,Viet Cong,0
Pope Francis,Wake Up!,1
The Avener,The Wanderings of the Avener,5
We Are Harlot,We Are Harlot,2
Emile Haynie,We Fall,1
iKON,Welcome Back,7
Chinx,Welcome to JFK,1
Band of Merrymakers,Welcome to Our Christmas Party,0
Rock City,What Dreams Are Made Of,2
Conveyer,When Given Time to Grow,0
Ykiki Beat,When the World is Wide,2
Alexander Armstrong,A Year of Songs,0
Robb Banks,Year of the Savage,2
Tyler Shaw,Yesterday,6
Nathaniel Willemse,Yours,5
Migos,Yung Rich Nation,2
Sarsa,Zapomnij mi,4
