artist,album,single_count
Katie Waissel,Katie Waissel,0
Cali Swag District,The Kickback,3
Nicole Scherzinger,Killer Love,5
I Am Empire,Kings,3
Vampires Everywhere!,Kiss the Sun Goodbye,0
Benjamin Francis Leftwich,Last Smoke Before the Snowstorm,4
Marsha Ambrosius,Late Nights & Early Mornings,2
Alex Clare,The Lateness of the Hour,4
Hugh Laurie,Let Them Talk,2
Irma,Letter to the Lord,0
Matt Cardle,Letters,4
Birgit Bidder,The Life Home,3
Clare Maguire,Light After Dark,3
Mirrors,Lights and Offerings,4
Stephanie Cayo,Llegaré,3
Zahara,Loliwe,2
Ab-Soul,Longterm Mentality,0
Brittany Hargest,Love All the Way,3
Christina Perri,Lovestrong,3
Jacob Yates and the Pearly Gate Lock Pickers,Luck,0
Go Radio,Lucky Street,2
Mademoiselle Yulia,Mademoworld,2
Cerebral Bore,Maniacal Miscreation,0
Mann,Mann's World,3
The Minutes,Marcata,6
Demonaz,March of the Norse,0
Marlon Roudette,Matter Fixed,4
Penguin Cafe,A Matter of Life...,0
Matthew Morrison,Matthew Morrison,2
Lisa Matassa,Me Time,0
Can Bonomo,Meczup,3
Middle Brother,Middle Brother,0
Mikal Cronin,Mikal Cronin,0
Stephen Jerzak,Miles and Miles,2
Mary Byrne,Mine & Yours,1
Jamie Woon,Mirrorwriting,2
Eye Empire,Moment Of Impact,0
Caligula’s Horse,Moments from Ephemeral City,0
Sainthood Reps,Monoculture,3
Monstercat,Monstercat 001 – Launch Week,0
Charlene Soraia,Moonchild,2
JPM,Moonwalk,5
The Fudge,Morning Comes Again,0
Mohombi,MoveMeant,5
Seth MacFarlane,Music Is Better Than Words,2
BOY,Mutual Friends,3
The Cinema,My Blood Is Full of Airplanes,4
Of Monsters and Men,My Head Is an Animal,4
David Carreira,"n. 1
(Nº 1)",1
Naëla,Naëla,4
Design the Skyline,Nevaeh,2
Grouplove,Never Trust a Happy Song,4
Iceage,New Brigade,0
New Look,New Look,0
Lauri Ylönen,New World,3
Nick 13,Nick 13,0
Cloak of Altering,The Night Comes Illuminated With Death,0
Dev,The Night the Sun Came Up,3
Charles Bradley,No Time for Dreaming,2
Bamboo Mañalac,"No Water, No Moon",4
Ed Sheeran,No. 5 Collaborations Project,0
Noel Gallagher's High Flying Birds,Noel Gallagher's High Flying Birds,5
Ninja Sex Party,NSFW,8
Mindless Behavior,#1 Girl,4
Office of Future Plans,Office of Future Plans,0
Katy B,On a Mission,6
Peter Furler,On Fire,3
Blood of the Martyrs,"Once More, with Feeling",0
Tesseract,One,1
Jamie Grace,One Song at a Time,2
WATERS,Out In The Light,0
Matthewdavid,Outmind,0
Pascal & Pearce,Passport,0
EMA,Past Life Martyred Saints,4
Penguin Prison,Penguin Prison,0
Natalia Kills,Perfectionist,4
Wayne Static,Pighammer,1
f(x),Pinocchio,2
Max Raptor,Portraits,3
The Jezabels,Prisoner,4
Thomas Giles,Pulse,0
YuiKaori,Puppy,5
The Internet,Purple Naked Ladies,4
MaYaN,Quarterpast,0
Quilt,Quilt,1
Yelawolf,Radioactive,2
Class Actress,Rapprocher,0
Whitton,Rare Bird,0
Rebeldes,Rebeldes,3
Fallstar,Reconciler. Refiner. Igniter.,0
Dia Frampton,Red,0
Reece Mastin,Reece Mastin,1
Tedeschi Trucks Band,Revelator,0
We Are Augustines,Rise Ye Sunken Ships,0
Deafheaven,Roads to Judah,0
Smoke DZA,Rolling Stoned,0
Ronan Parke,Ronan Parke,1
Ronnie Dunn,Ronnie Dunn,3
Runner Runner,Runner Runner,3
Mr. Envi',Rydaz Redemption,0
Ivi Adamou,San Ena Oniro,4
Alexandra Stan,Saxobeats,4
SBTRKT,SBTRKT,4
Bewized,The Scorch of Rage,0
Icon for Hire,Scripted,5
Kendrick Lamar,Section.80,1
Jessica 6,See the Light,0
Seeker Lover Keeper,Seeker Lover Keeper,0
Selah Sue,Selah Sue,4
Sepalcure,Sepalcure,0
The Rubberbandits,Serious About Men,4
ScHoolboy Q,Setbacks,0
Kuedo,Severant,0
Title Fight,Shed,0
Mary-Jess Leaverland,Shine,3
X-Pistols,Shoot To Kill,0
Kristoffer Kompen Quartet,Short Stories of Happiness,0
Six60,Six60,6
Sistar,So Cool,4
Cecimonster Vs. Donka,Solara,0
Somedaydream,Somedaydream,5
Black Spiders,Sons of the North,0
Patrick Stump,Soul Punk,1
This Century,Sound of Fire,0
Nicolas Jaar,Space Is Only Noise,0
Battle Beast,Steel,0
The Stellas,The Stellas,3
The Stepkids,The Stepkids,0
Rizzle Kicks,Stereo Typical,24
Cher Lloyd,Sticks and Stones,4
Airship,Stuck in This Ocean,0
Wolf Gang,Suego Faults,0
Tidal Arms,The Sun Exploding,0
Paradise Oskar,Sunday Songs,2
SuperHeavy,SuperHeavy,2
Wizkid,Superstar,6
Noctura,Surrender the Sun,0
DyE,Taki 183,2
MEN,Talk About Body,3
Schenker's Temple of Rock,Temple of Rock,0
