label,artist,album,genre,single_count,freq_billboard,freq_genius,freq_theSource,freq_xxl,rating_AOTY,rating_meta,rating_pitch,twitter,instagram,facebook,spotify,soundcloud,youtube
1,Chief Keef,Finally Rich,hiphop,3,0,0,13,96,,62,7.5,1246905,4559375,0,1041191,287881,169815
0,Travis Porter,From Day 1,hiphop,4,0,0,33,54,,,,488836,65293,2289344,399375,6914,230794
0,Delilah,From the Roots Up,hiphop,5,0,0,0,302,,,,0,611643,1622303,40083,0,55998
0,Rye Rye,Go! Pop! Bang!,hiphop,3,0,0,0,0,,70,7,39555,0,96532,20276,0,1765
0,Loreen,Heal,hiphop,5,0,0,0,56,,,,18608,24415,594030,157607,0,50578
1,Macklemore & Ryan Lewis,The Heist,hiphop,5,1,6,200,182,,,,2763553,4239705,6339971,2088782,2674976,6108595
0,Hiphop Tamizha,Hip Hop Tamizhan,hiphop,0,0,0,0,0,,,,655941,1491212,2794530,13756,0,641349
1,Rapsody,The Idea of Beautiful,hiphop,0,0,0,1,71,,,,37,151194,88576,57098,8503,35992
0,JJ Doom,Key to the Kuffs,hiphop,0,0,0,0,10,,,,6111,0,0,26041,0,255
1,Machine Gun Kelly,Lace Up,hiphop,3,0,0,13,81,,,,1127276,3247918,4956129,1035892,155617,3690308
1,Big K.R.I.T.,Live from the Underground,hiphop,4,0,0,30,899,,78,,771284,524329,957568,281620,8126644,97662
0,Envy,The Magic Soup and the Bittersweet Faces,hiphop,1,0,0,0,0,,,,787550,0,231512,1667,0,0
0,Riz MC,Microscope,hiphop,1,0,0,0,31,,74,,175946,309053,65190,5829,11347,3758
0,Lil Ugly Mane,Mista Thug Isolation,hiphop,0,0,0,0,6,,,8.2,0,0,36015,16329,36139,10288
0,Froggy Fresh,Money Maker (Reloaded),hiphop,0,0,0,0,0,,,,53211,19839,242772,21010,2390,604019
1,Death Grips,The Money Store,hiphop,1,1,0,5,7,,81,8.7,0,0,0,0,117223,198279
0,Davido,Omo Baba Olowo,hiphop,7,0,0,0,0,,,,3660345,6361937,3838277,85232,15126,450061
0,Kool A.D.,The Palm Wine Drinkard,hiphop,0,0,0,0,0,,,,33299,13278,6572,12195,918,5602
1,Future,Pluto,hiphop,5,0,0,31,3367,,68,7.8,5147749,12230982,7344582,6186866,9710262,4776208
0,JK Flesh,Posthuman,hiphop,0,0,0,0,0,,,7.6,0,0,29334,2851,2771,0
0,Jeremiah Jae,Raw Money Raps,hiphop,1,0,0,0,0,,79,6.8,10298,0,16202,8884,21081,3305
0,Beautiful Eulogy,Satellite Kite,hiphop,0,0,0,0,0,,,,22054,21944,33663,35500,621,60444
0,Kreayshawn,Somethin' 'Bout Kreay,hiphop,3,0,0,1,0,,42,,627248,306166,549862,101195,19882,263709
0,Dan Le Sac,Space Between the Words,hiphop,3,0,0,3,1,,,,33124,0,19887,7021,5092,2517
0,The Original Rudeboys,This Life,hiphop,4,0,0,0,304,,,,43429,0,70953,7486,493,23004
1,Diggy Simmons,Unexpected Arrival,hiphop,5,0,0,5,2,,,,1727959,1465267,2864166,3822,18688,168895
1,Kid Ink,Up & Away,hiphop,6,0,0,200,1691,,,,1139364,2961015,6656006,1636896,327367,501936
0,Swoope,Wake Up,hiphop,0,0,0,0,434,,,,46277,0,54577,25498,2795,214264
1,Terrace Martin,3ChordFold,hiphop,1,0,0,3,75,,,,48715,85757,10489,26253,13585,0
1,King Krule,6 Feet Beneath the Moon,hiphop,0,0,0,0,1,,77,7.3,13527,23814,244667,292780,64564,110900
0,Def Dee,33 and a Third,hiphop,0,0,0,27,79,,,,0,0,0,248,0,0
0,Durag Dynasty,360 Waves,hiphop,0,0,0,0,0,,,,0,0,0,857,0,0
0,Crooked I,Apex Predator,hiphop,1,0,0,4,0,,,,0,0,0,0,0,0
0,Alex Faith,ATLast,hiphop,0,0,0,0,2,,,,25382,21310,15179,11840,0,231
0,Bo Bruce,Before I Sleep,hiphop,3,0,0,5,1,,,,57564,4586,47852,6093,2698,4106
0,Feed Me,Calamari Tuesday,hiphop,2,0,0,0,2,,,,237272,115013,600431,248263,309367,157452
0,Capital Kings,Capital Kings,hiphop,2,0,0,19,4,,,,44868,123587,169463,120307,14148,200750
0,Angel Haze,Dirty Gold,hiphop,2,0,0,11,5,,66,5.9,148465,108224,277433,106136,18,87859
1,Earl Sweatshirt,Doris,hiphop,3,0,0,17,198,,82,8.3,2177532,639039,862708,636012,154516,169798
0,Friendzone,DX,hiphop,0,0,0,1,10,,,,0,0,0,592,0,0
1,Freddie Gibbs,ESGN,hiphop,1,0,0,9,231,,,6.9,184528,226663,167678,188608,332009,97447
1,French Montana,Excuse My French,hiphop,3,0,1,46,316,,54,3.5,2966057,8044922,4292128,1499640,64646,2472165
1,HBK Gang,Gang Forever,hiphop,0,0,0,1,44,,,,19596,83,17582,6069,97986,184733
0,Dre Murray,Gold Rush: Maybe One Day,hiphop,0,0,0,0,4,,,,23679,20319,13878,7577,2455,0
