artist,album,release_date,ratings
Bishop Nehru,Elevators: Act I & II,22/03/2018,6.2
Kash Doll,Brat Mail,22/03/2018,6.1
Rich Homie Quan,Rich as in Spirit ,21/03/2018,7.7
Saweetie,High Maintenance EP,21/03/2018,6.7
Caroline Says,No Fool Like an Old Fool ,21/03/2018,7.5
Murs,A Strange Journey Into the Unimaginable,21/03/2018,6.8
Yo La Tengo,There's a Riot Going On,20/03/2018,7.6
Gulfer,Dog Bless,20/03/2018,7.4
Hell to Pay,Bliss,20/03/2018,7.2
George FitzGerald,All That Must Be,20/03/2018,6.4
The Decemberists,I'll Be Your Girl,19/03/2018,6.1
Hot Snakes,Jericho Sirens,19/03/2018,7.7
Chuck Strangers,Consumers Park,19/03/2018,7.4
Will Long,Long Trax 2,19/03/2018,6.2
Bruce Springsteen,Nebraska,18/03/2018,10
Meshell Ndegeocello,Ventriloquism,17/03/2018,7.8
Oneida,Romance,17/03/2018,7.4
Jeremih,The Chocolate Box EP,17/03/2018,5.2
Killy,Surrender Your Soul,17/03/2018,6.8
Mount Eerie,Now Only,16/03/2018,8.5
The Neighbourhood,The Neighbourhood,16/03/2018,4.7
Young Fathers,Cocoa Sugar,16/03/2018,7.3
Dungen,Myths 003 EP,16/03/2018,7.6
Essaie Pas,New Path ,16/03/2018,7.7
03 Greedo,The Wolf of Grape Street,15/03/2018,8
Logic,Bobby Tarantino II ,15/03/2018,6.7
Various Artist,Physically Sick 2,15/03/2018,7.2
Park Jiha,Communion,15/03/2018,7
Jonny Greenwood,You Were Never Really Here (Original Motion Picture Soundtrack),14/03/2018,7.8
Albert Hammond Jr.,Francis Trouble,14/03/2018,7.2
August Greene,August Greene,14/03/2018,6.5
Caroline Rose,LONER,14/03/2018,7.6
Of Montreal,White Is Relic/Irrealis Mood,13/03/2018,7.2
Smerz,Have fun EP,13/03/2018,8.1
DJ Nigga Fox,Cranio EP,13/03/2018,8
CRZKNY,GVVVV,13/03/2018,6.6
David Byrne,American Utopia,12/03/2018,5.8
Kraus,Path,12/03/2018,7.3
Mozzy,Spiritual Conversations EP,12/03/2018,6.8
Haley Heynderickx,I Need to Start a Garden,12/03/2018,7.3
8ULENTINA,Eucalyptus EP,12/03/2018,7.5
Miles Davis,Get Up With It,11/03/2018,9.6
Moby,"Everything Was Beautiful, and Nothing Hurt",10/03/2018,5.7
Joan Baez,Whistle Down the Wind,10/03/2018,7.4
Various Artist,Hunchin' All Night,10/03/2018,7.3
Nap Eyes,I'm Bad Now,10/03/2018,7.6
Lil Yachty,Lil Boat 2,09/03/2018,5.8
Ed Schrader's Music Beat,Riddles,09/03/2018,7.4
Ronny J,OMGRONNY,09/03/2018,6.8
Ilsa,Corpse Fortress,09/03/2018,7.2
Andrew W.K.,You're Not Alone,08/03/2018,6.6
Valee,"GOOD Job, You Found Me EP",08/03/2018,7.4
Lost Girls,Feeling EP,08/03/2018,7.6
Elucid,Shit Don't Rhyme No More,08/03/2018,7.7
Tory Lanez,Memories Don't Die,07/03/2018,5.5
Camp Cope,How to Socialise & Make Friends,07/03/2018,7.8
Roc Marciano,RR2: The Bitter Dose,07/03/2018,8
P. Adrix,Album Desconhecido,07/03/2018,7.4
Titus Andronicus,A Productive Cough,06/03/2018,5.9
Lucy Dacus,Historian,06/03/2018,8.1
Seun Kuti & Egypt 80,Black Times,06/03/2018,7.6
Keiji Haino,"American Dollar Bill - Keep Facing Sideways, You're Too Hideous To Look at Face on",06/03/2018,7.3
Soccer Mommy,Clean ,05/03/2018,8.4
E Ruscha V,Who Are You,05/03/2018,7.7
The Men,Drift,05/03/2018,6.6
