artist,album,genre,single_count
Damon Albarn,Everyday Robots,hiphop,5
TV Girl,French Exit,hiphop,1
Banks,Goddess,hiphop,4
Got a Girl,I Love You but I Must Drive Off This Cliff Now,hiphop,2
Bas,Last Winter,hiphop,0
Cash Out,Let's Get It,hiphop,3
K.Flay,Life As A Dog,hiphop,0
Gesu no Kiwami Otome,Miryoku ga Sugoi yo,hiphop,3
MKTO,MKTO,hiphop,5
Kevin Abstract,MTV1987,hiphop,2
YG,My Krazy Life,hiphop,4
Iggy Azalea,The New Classic,hiphop,5
Tiny Doo,No Safety,hiphop,0
Stalley,Ohio,hiphop,3
PE 2.0,People Get Ready,hiphop,0
Ghetts,Rebel With a Cause,hiphop,4
Sage the Gemini,Remember Me,hiphop,5
Shtar Academy,Shtar Academy,hiphop,1
Iamsu!,Sincerely Yours,hiphop,2
Sisyphus,Sisyphus,hiphop,1
Ratking,So It Goes,hiphop,4
Manny Phesto,Southside Looking In,hiphop,0
August Alsina,Testimony,hiphop,6
Cassper Nyovest,Tsholofelo,hiphop,3
Logic,Under Pressure,hiphop,2
DJ DX,The Unfortunate Child,hiphop,0
Yung Lean,Unknown Memory,hiphop,0
Anderson .Paak,Venice,hiphop,2
Teyana Taylor,VII,hiphop,3
BTS,Wake Up,hiphop,3
Awkwafina,Yellow Ranger,hiphop,0
Fifi Cooper,20FIFI,hiphop,0
Raury,All We Need,hiphop,0
Boots,Aquaria,hiphop,0
Joey Badass,B4.Da.$$,hiphop,8
Kriswontwo,Ceremoni,hiphop,0
Dreamteam,Dreams Never Die,hiphop,4
Heems,Eat Pray Thug,hiphop,0
Omen,Elephant Eyes,hiphop,1
Riky Rick,Family Values,hiphop,4
Markis Precise,The Feeling of Flying,hiphop,1
Fetty Wap,Fetty Wap,hiphop,4
Nekfeu,Feu,hiphop,4
Ty Dolla Sign,Free TC,hiphop,4
King Los,God Money War,hiphop,4
Kirk Knight,Late Knight Special,hiphop,2
Wiki,Lil Me,hiphop,3
Casey Veggies,Live & Grow,hiphop,2
Injury Reserve,Live From the Dentist Office,hiphop,0
Gunplay,Living Legend,hiphop,4
Mod Sun,Look Up,hiphop,0
Red Pill,Look What This World Did To Us,hiphop,1
Fleur East,Love Sax and Flashbacks,hiphop,2
NF,Mansion,hiphop,3
Empress Of,Me,hiphop,4
Kat Dahlia,My Garden,hiphop,3
Ivy Levan,No Good,hiphop,6
K Camp,Only Way Is Up,hiphop,3
Raz Fresco,Pablo Frescobar,hiphop,6
Lil Dicky,Professional Rapper,hiphop,4
Lil Durk,Remember My Name,hiphop,1
Travis Scott,Rodeo,hiphop,2
Bodega Bamz,Sidewalk Exec,hiphop,0
K.O,Skhanda Republic,hiphop,5
Drique London,The Manual,hiphop,0
Rae Sremmurd,SremmLife,hiphop,5
Vince Staples,Summertime '06,hiphop,3
Donnie Trumpet & The Social Experiment,Surf,hiphop,3
Bryson Tiller,Trapsoul,hiphop,3
Chinx,Welcome to JFK,hiphop,1
Rock City,What Dreams Are Made Of,hiphop,2
Robb Banks,Year of the Savage,hiphop,2
Migos,Yung Rich Nation,hiphop,2
Flatbush Zombies,3001: A Laced Odyssey,hiphop,2
Baauer,Aa,hiphop,3
Brockhampton,All-American Trash,hiphop,0
SCH,Anarchie,hiphop,5
Banks & Steelz,Anything But Words,hiphop,6
Anatii,ARTIIFACT,hiphop,6
CupcakKe,Audacious,hiphop,4
Nasty C,Bad Hair,hiphop,1
Bankroll Mafia,Bankroll Mafia,hiphop,2
DRAM,Big Baby DRAM,hiphop,4
Jared Evan,The Blanket Truth,hiphop,4
Chad,The Book of Chad,hiphop,4
Swet Shop Boys,Cashmere,hiphop,0
Moor Mother,Fetish Bones,hiphop,0
Westside Gunn,Flygod,hiphop,3
Grace,FMA,hiphop,3
6lack,Free 6lack,hiphop,2
Rebstar,Girls Like Nicole,hiphop,0
Mick Jenkins,The Healing Component,hiphop,2
Jon Bellion,The Human Condition,hiphop,2
Tory Lanez,I Told You,hiphop,2
Kevin Gates,Islah,hiphop,4
Young Dolph,King of Memphis,hiphop,1
Dame D.O.L.L.A.,The Letter O,hiphop,0
Dareysteel,Man of the Year,hiphop,0
MHD,MHD,hiphop,3
Mykki Blanco,Mykki,hiphop,3
Seth & Nirva,Never Alone,hiphop,0
Young Check'a,Never Seen,hiphop,2
Elliott Power,Once Smitten,hiphop,4
A-Reece,Paradise,hiphop,5
Redfoo,Party Rock Mansion,hiphop,3
CDQ,Quality,hiphop,6
Post Malone,Stoney,hiphop,6
Isaiah Rashad,The Sun's Tirade,hiphop,1
Kembe X,Talk Back,hiphop,5
Tkay Maidza,Tkay,hiphop,2
Roy Woods,Waking at Dawn,hiphop,2
Lil' Kleine,WOP!,hiphop,0
ASAP Twelvyy,12,hiphop,0
XXXTentacion,17,hiphop,3
Princess Nokia,1992 Deluxe,hiphop,4
Vic Mensa,The Autobiography,hiphop,1
A Boogie wit da Hoodie,The Bigger Artist,hiphop,2
Smino,blkswn,hiphop,4
Jidenna,The Chief,hiphop,4
J Hus,Common Sense,hiphop,4
Lute,West1996 pt. 2,hiphop,0
