artists,albums,genre,release_date,ratings
Ben Frost,Threshold of Faith EP,"['Electronic', 'Experimental']",2017-08-04,6.8
Julia Michaels,Nervous System EP,['Pop/R&B'],2017-08-04,6.6
Briana Marela,Call It Love,['Rock'],2017-08-04,6.9
Joywave,Content,['Rock'],2017-08-04,5.9
Brian Eno,Here Come the Warm Jets,['Experimental'],2017-08-03,9.5
People Like You,Verse,['Rock'],2017-08-03,7.2
Couch Slut,Contempt,['Metal'],2017-08-03,7.7
Tchornobog,Tchornobog,['Metal'],2017-08-03,7.4
Romeo Santos,Golden,['Pop/R&B'],2017-08-02,7.6
Nav,Perfect Timing,['Rap'],2017-08-02,4.8
Joe Henderson,The Elements,['Jazz'],2017-08-02,8.6
Mhysa,fantasii ,['Electronic'],2017-08-02,7.8
Aminé,Good for You,['Rap'],2017-08-01,7.3
WizKid,Sounds from the Other Side,['Global'],2017-08-01,7.4
Various Artist,La Torre Ibiza — Volumen Dos,[],2017-08-01,7.8
Declan McKenna,What Do You Think About the Car?,['Rock'],2017-08-01,5.9
Vic Mensa,The Autobiography,['Rap'],2017-07-31,6.9
Ross From Friends,The Outsiders EP,['Electronic'],2017-07-31,6.6
Pan Daijing,Lack,['Experimental'],2017-07-31,7.6
Denitia,Ceilings,['Pop/R&B'],2017-07-31,7.2
Silver Jews,American Water,['Rock'],2017-07-30,9.4
The Fall,New Facts Emerge,['Rock'],2017-07-29,6.8
Sontag Shogun,Patterns for Resonant Space,['Experimental'],2017-07-29,7.3
Sudan Archives,Sudan Archives,"['Pop/R&B', 'Experimental']",2017-07-29,7.3
DJ Bone,Riding the Thin Line EP,['Electronic'],2017-07-29,7.6
Arcade Fire,Everything Now ,['Rock'],2017-07-28,5.6
Suicideyear,Hate Songs EP,['Electronic'],2017-07-28,7.3
Jeremy Greenspan,Greenspan and Taraval EP,['Electronic'],2017-07-28,6.9
Golden Retriever,Rotations,['Experimental'],2017-07-28,8.0
Meek Mill,Wins and Losses,['Rap'],2017-07-27,7.4
Snail Mail,Habit EP,['Rock'],2017-07-27,7.7
Pickwick,LoveJoys,['Rock'],2017-07-27,6.6
Lory D,Strange Days,['Electronic'],2017-07-27,7.5
Nine Inch Nails,Add Violence EP,['Rock'],2017-07-26,7.3
Gal Costa,Índia,['Pop/R&B'],2017-07-26,8.5
This Is the Kit,Moonshine Freeze,['Folk/Country'],2017-07-26,7.3
Quindar,Hip Mobility,['Experimental'],2017-07-26,6.8
Lana Del Rey,Lust for Life,['Pop/R&B'],2017-07-25,7.7
Avey Tare,Eucalyptus,['Experimental'],2017-07-25,7.6
Bedouine,Bedouine,['Folk/Country'],2017-07-25,7.5
Jana Rush,Pariah,['Electronic'],2017-07-25,7.9
Foster the People,Sacred Hearts Club,"['Electronic', 'Rock']",2017-07-24,5.5
Daphni,Fabriclive 93,['Electronic'],2017-07-24,7.6
The Beacon Sound Choir,Sunday Songs,[],2017-07-24,7.7
Us and Us Only,Full Flower,[],2017-07-24,6.7
Stereolab,Dots and Loops,['Experimental'],2017-07-23,9.2
Ramones,Leave Home,['Rock'],2017-07-22,9.5
Psychic TV,Pagan Day,['Experimental'],2017-07-22,6.7
Lo Tom,Lo Tom,['Rock'],2017-07-22,6.2
Bjørn Torske,Square One,['Electronic'],2017-07-22,7.3
"Tyler, the Creator",Flower Boy,['Rap'],2017-07-21,8.5
Dizzee Rascal,Raskit,['Rap'],2017-07-21,7.0
Burnt Friedman,Dead Saints Chronicles,['Electronic'],2017-07-21,7.8
Patricia,Several Shades of the Same Color,['Electronic'],2017-07-21,6.9
Cornelius,Mellow Waves,['Electronic'],2017-07-20,7.7
Terrace Martin Presents the Pollyseeds,"Sounds of Crenshaw, Vol. 1",['Pop/R&B'],2017-07-20,7.6
Cousin Stizz,One Night Only,['Rap'],2017-07-20,6.9
Holy Shit,Solid Rain,['Rock'],2017-07-20,7.2
French Montana,Jungle Rules,['Rap'],2017-07-19,6.5
SQÜRL,EP #260,['Experimental'],2017-07-19,6.8
Jean​-​Jacques Perrey,Jean​-​Jacques Perrey et son Ondioline,['Electronic'],2017-07-19,7.6
Art Feynman,Blast Off Through the Wicker,[],2017-07-19,7.0
Japanese Breakfast,Soft Sounds From Another Planet,['Rock'],2017-07-18,8.0
Mura Masa,Mura Masa,['Electronic'],2017-07-18,7.7
Coca Leaf,Deep Marble Sunrise,['Experimental'],2017-07-18,7.1
Claude Speeed,Infinity Ultra,['Electronic'],2017-07-18,7.4
Coldplay,Kaleidoscope,['Rock'],2017-07-17,5.8
Dasher,Sodium ,['Metal'],2017-07-17,7.8
Mr Jukes,God First,['Pop/R&B'],2017-07-17,5.8
Mike Cooper,Raft,['Experimental'],2017-07-17,6.8
SW.,The Album,['Experimental'],2017-07-17,8.0
Guns N' Roses,Appetite for Destruction,['Rock'],2017-07-16,10.0
Shabazz Palaces,Quazarz: Born on a Gangster Star,['Rap'],2017-07-14,7.6
Sheer Mag,Need to Feel Your Love,['Rock'],2017-07-14,8.0
Yoko Ono,Fly,['Experimental'],2017-07-14,8.7
Integrity,"Howling, for the Nightmare Shall Consume",['Metal'],2017-07-14,7.7
Waxahatchee,Out in the Storm ,['Rock'],2017-07-13,8.2
Moon Diagrams,Lifetime of Love,['Rock'],2017-07-13,7.0
DJ Shadow,The Mountain Has Fallen,['Electronic'],2017-07-13,6.5
Boris,Dear,"['Metal', 'Rock']",2017-07-13,7.3
21 Savage,Issa Album,['Rap'],2017-07-12,6.5
Public Enemy,Nothing Is Quick in the Desert,['Rap'],2017-07-12,6.0
Ex Eye,Ex Eye,['Experimental'],2017-07-12,8.1
Great Grandpa,Plastic Cough,['Rock'],2017-07-12,6.7
Toro Y Moi,Boo Boo ,['Electronic'],2017-07-11,6.9
Chronixx,Chronology,['Global'],2017-07-11,7.6
Nídia,"Nídia é Má, Nídia é Fudida",['Electronic'],2017-07-11,7.8
Roscoe Mitchell,Bells for the South Side,['Jazz'],2017-07-11,7.3
Broken Social Scene,Hug of Thunder,['Rock'],2017-07-10,8.4
Kacy Hill,Like a Woman ,['Pop/R&B'],2017-07-10,5.1
Brightness,Teething,['Rock'],2017-07-10,7.4
Heaven in Her Arms,White Halo,['Metal'],2017-07-10,7.7
Sau Poler,Dribble EP,['Electronic'],2017-07-10,7.8
Metallica,Metallica,['Metal'],2017-07-09,7.7
DJ Khaled,Grateful,['Rap'],2017-07-08,5.2
Porter Ricks,Anguilla Electrica,['Electronic'],2017-07-08,8.0
Pep Llopis,Poiemusia La Nau Dels Argonautes,['Experimental'],2017-07-08,7.6
Conway,Reject on Steroids,['Rap'],2017-07-08,6.8
Haim,Something to Tell You,['Rock'],2017-07-07,7.8
Calvin Harris,Funk Wav Bounces Vol. 1,['Electronic'],2017-07-07,6.7
Baio,Man of the World,['Electronic'],2017-07-07,5.6
Portugal. The Man,Woodstock,['Rock'],2017-07-07,6.6
Beach House,B-Sides and Rarities,['Rock'],2017-07-06,6.9
TLC,TLC,['Pop/R&B'],2017-07-06,7.4
James Elkington,Wintres Woma,['Folk/Country'],2017-07-06,7.8
Steffi,Fabric 94,['Electronic'],2017-07-06,7.7
JAY-Z,4:44,['Rap'],2017-07-05,8.4
Clams Casino,Instrumentals 4,['Rap'],2017-07-05,7.4
Lapalux,Ruinism,['Electronic'],2017-07-05,7.2
Guerilla Toss,GT Ultra,['Experimental'],2017-07-05,7.5
Marvin Gaye,"Here, My Dear",['Pop/R&B'],2017-07-02,8.7
The Beach Boys,1967 - Sunshine Tomorrow,['Rock'],2017-07-01,8.1
Algiers,The Underside of Power,['Rock'],2017-07-01,5.8
Bill Orcutt,Bill Orcutt,['Experimental'],2017-07-01,7.6
White Suns,Psychic Drift,[],2017-07-01,7.4
MIKE,May God Bless Your Hustle,['Rap'],2017-06-30,8.3
Nicholas Britell,Moonlight (Official Motion Picture Soundtrack),['Jazz'],2017-06-30,7.7
Ennanga Vision,Ennanga Vision,['Electronic'],2017-06-30,7.2
Turtlenecked,Vulture,['Rock'],2017-06-30,6.0
Washed Out,Mister Mellow,['Electronic'],2017-06-29,6.7
King Gizzard & The Lizard Wizard,Murder of the Universe,['Rock'],2017-06-29,8.0
David Bowie,Cracked Actor (Live Los Angeles ’74),['Rock'],2017-06-29,8.0
MC Eiht,Which Way Iz West,['Rap'],2017-06-29,7.1
Laurel Halo,Dust,['Electronic'],2017-06-28,8.2
Floating Points,Reflections - Mojave Desert,['Electronic'],2017-06-28,7.3
Colter Wall,Colter Wall,['Folk/Country'],2017-06-28,8.0
Cybe,Tropisch Verlangen,['Global'],2017-06-28,7.8
Jeff Tweedy,Together at Last,['Rock'],2017-06-27,6.6
The Monks,Hamburg Recordings 1967,['Rock'],2017-06-27,6.9
Rozwell Kid,Precious Art,['Rock'],2017-06-27,7.4
Jefre Cantu-Ledesma,On the Echoing Green,['Experimental'],2017-06-27,7.7
Prince,Purple Rain Deluxe — Expanded Edition,"['Pop/R&B', 'Rock']",2017-06-26,10.0
Beth Ditto,Fake Sugar,['Rock'],2017-06-26,6.1
Karen Gwyer,Rembo,['Electronic'],2017-06-26,7.4
Suffocation,...Of the Dark Light,['Metal'],2017-06-26,7.0
Impetuous Ritual,Blight Upon Martyred Sentience,[],2017-06-26,7.9
ZZ Top,Tres Hombres,['Rock'],2017-06-25,9.0
Com Truise,Iteration,['Electronic'],2017-06-24,6.7
Keith Rowe,13 Thirteen,['Experimental'],2017-06-24,7.5
BROCKHAMPTON,SATURATION,['Rap'],2017-06-24,6.5
Amir ElSaffar,Not Two,"['Jazz', 'Global']",2017-06-24,7.9
Vince Staples,Big Fish Theory,['Rap'],2017-06-23,8.7
Palehound,A Place I’ll Always Go,['Rock'],2017-06-23,7.3
H.E.R.,H.E.R. Vol. 2 EP,['Pop/R&B'],2017-06-23,7.8
Showtime Goma,Smiley Face,['Rock'],2017-06-23,6.9
Radiohead,OK Computer OKNOTOK 1997 2017,['Rock'],2017-06-22,10.0
Steve Earle & the Dukes,So You Wannabe an Outlaw,['Folk/Country'],2017-06-22,7.7
Fhloston Paradigm,After...,['Electronic'],2017-06-22,7.5
Palm,Shadow Expert EP,['Rock'],2017-06-22,7.6
Kevin Morby,City Music,['Rock'],2017-06-21,8.1
The Drums,“Abysmal Thoughts”,['Pop/R&B'],2017-06-21,7.4
Larkin Grimm,Chasing an Illusion,['Folk/Country'],2017-06-21,7.1
Scott Gilmore,Subtle Vertigo,['Experimental'],2017-06-21,7.2
Young Thug,Beautiful Thugger Girls,['Rap'],2017-06-20,8.0
Peaking Lights,The Fifth State of Consciousness,['Electronic'],2017-06-20,7.6
Hudson,Hudson,['Jazz'],2017-06-20,7.5
Camille,OUÏ,['Pop/R&B'],2017-06-20,7.6
Big Boi,Boomiverse,['Rap'],2017-06-19,7.4
Ride,Weather Diaries,['Rock'],2017-06-19,6.3
Benjamin Booker,Witness,['Rock'],2017-06-19,8.1
House and Land,House and Land,['Folk/Country'],2017-06-19,7.8
Destiny’s Child,The Writing’s on the Wall,['Pop/R&B'],2017-06-18,9.0
Can,Can — The Singles,['Experimental'],2017-06-17,6.4
Jason Isbell and the 400 Unit,The Nashville Sound,['Folk/Country'],2017-06-17,6.3
Glen Campbell,Adiós,['Folk/Country'],2017-06-17,5.7
UMFANG,Symbolic Use of Light,['Electronic'],2017-06-17,7.8
Lorde,Melodrama,['Pop/R&B'],2017-06-16,8.8
2 Chainz,Pretty Girls Like Trap Music,['Rap'],2017-06-16,8.0
Lynn Castle,Rose Colored Corner,"['Experimental', 'Folk/Country']",2017-06-16,7.5
Rancid,Trouble Maker,['Rock'],2017-06-16,7.3
Fleet Foxes,Crack-Up,['Folk/Country'],2017-06-15,8.7
Chief Keef,Thot Breaker,['Rap'],2017-06-15,8.0
DJ Sports,Modern Species,['Electronic'],2017-06-15,7.8
Slow Dancer,In a Mood,['Rock'],2017-06-15,7.2
Katy Perry,Witness,['Pop/R&B'],2017-06-14,4.8
Amber Coffman,City of No Reply,['Pop/R&B'],2017-06-14,7.8
TOPS,Sugar at the Gate,['Pop/R&B'],2017-06-14,7.4
Joni Void,Selfless,"['Experimental', 'Jazz']",2017-06-14,7.7
SZA,CTRL,['Pop/R&B'],2017-06-13,8.4
Sufjan Stevens,Planetarium,"['Folk/Country', 'Electronic', 'Experimental']",2017-06-13,6.0
Richard Dawson,Peasant,[],2017-06-13,8.0
Chuck Berry,Chuck,['Rock'],2017-06-13,6.3
SahBabii,S.A.N.D.A.S,['Rap'],2017-06-13,6.6
Lindsey Buckingham,Lindsey Buckingham / Christine McVie,"['Rock', 'Folk/Country']",2017-06-12,6.2
Pixx,The Age of Anxiety,['Pop/R&B'],2017-06-12,6.5
Murlo,Club Coil,['Electronic'],2017-06-12,5.9
Norska,Too Many Winters,['Rock'],2017-06-12,7.2
Salt-N-Pepa,Very Necessary,['Rap'],2017-06-11,8.5
Royal Trux,Platinum Tips + Ice Cream,['Rock'],2017-06-10,7.3
Saint Etienne,Home Counties,"['Electronic', 'Rock']",2017-06-10,7.6
Arve Henriksen,Towards Language,"['Global', 'Jazz']",2017-06-10,7.6
Robert Hood,Paradygm Shift,['Electronic'],2017-06-10,6.9
Big Thief,Capacity,['Rock'],2017-06-09,8.3
Jimi Tents,I Can't Go Home,['Rap'],2017-06-09,7.8
Smidley,Smidley,['Experimental'],2017-06-09,7.5
King Tubby & the Aggrovators,Dubbing In The Backyard,['Global'],2017-06-09,7.4
Phoenix,Ti Amo,['Rock'],2017-06-08,7.0
Perera Elsewhere,All of This,['Pop/R&B'],2017-06-08,7.6
Mark McGuire,Ideas of Beginnings,"['Electronic', 'Rock', 'Experimental']",2017-06-08,7.7
Cigarettes After Sex,Cigarettes After Sex,['Experimental'],2017-06-08,7.4
Halsey,hopeless fountain kingdom,['Pop/R&B'],2017-06-07,6.5
Beach Fossils,Somersault,"['Experimental', 'Rock']",2017-06-07,7.3
Major Lazer,Know No Better EP,"['Global', 'Pop/R&B']",2017-06-07,6.4
Various Artist,Five Years of Loving Notes,[],2017-06-07,7.6
alt-J,RELAXER,['Rock'],2017-06-06,4.5
Chastity Belt,I Used to Spend So Much Time Alone,['Rock'],2017-06-06,7.4
Omar Souleyman,"To Syria, with Love",['Global'],2017-06-06,6.5
The Charlatans UK,Different Days,"['Electronic', 'Rock']",2017-06-06,6.0
Gucci Mane,Droptopwop,['Rap'],2017-06-05,7.3
Chuck Johnson,Basalms,['Experimental'],2017-06-05,8.1
Chain and the Gang,The Best of Crime Rock,['Rock'],2017-06-05,7.7
Pet Symmetry,Vision,['Rock'],2017-06-05,6.8
tofubeats,Fantasy Club,['Electronic'],2017-06-05,7.6
Ghostface Killah,Supreme Clientele,['Rap'],2017-06-04,10.0
Tony Conrad,Ten Years Alive on the Infinite Plain,"['Experimental', 'Rock']",2017-06-03,8.4
Martin Rev,Demolition 9,['Electronic'],2017-06-03,6.0
Loss,Horizonless,['Metal'],2017-06-03,8.0
Shinichi Atobe,"From the Heart, it's a Start, a Work of Art",['Electronic'],2017-06-03,8.1
Bleachers,Gone Now,['Pop/R&B'],2017-06-02,6.1
Kettenkarussell,Insecurity Guard,['Electronic'],2017-06-02,8.0
Look Blue Go Purple,Still Bewitched,['Rock'],2017-06-02,8.3
Marika Hackman,I’m Not Your Man,['Folk/Country'],2017-06-02,7.5
Snoop Dogg,Neva Left,['Rap'],2017-06-01,7.0
Dan Auerbach,Waiting on a Song,['Rock'],2017-06-01,6.7
Elysia Crampton,Spots y Escupitajo,['Experimental'],2017-06-01,7.2
Ricardo Villalobos,Empirical House,['Electronic'],2017-06-01,7.3
Bryson Tiller,True to Self,['Pop/R&B'],2017-05-31,6.6
Swet Shop Boys,Sufi La,['Rap'],2017-05-31,6.9
First Hate,A Prayer for the Unemployed,"['Electronic', 'Pop/R&B']",2017-05-31,7.8
Thunder Dreamer,Capture,['Rock'],2017-05-31,7.7
Danzig,Black Laden Crown,['Metal'],2017-05-30,6.4
RJMrLA,Mr. LA,['Rap'],2017-05-30,7.5
JJ DOOM,Bookhead,['Rap'],2017-05-30,8.0
Obnox,Niggative Approach,['Rock'],2017-05-30,7.8
Patti Smith Group,Easter,['Rock'],2017-05-28,8.8
Roger Waters,Is This the Life We Really Want?,['Rock'],2017-05-27,6.9
Jaco Pastorius,"Truth, Liberty & Soul - Live in NYC: The Complete 1982 NPR Jazz Alive! Recording","['Global', 'Jazz']",2017-05-27,8.1
Mary Lattimore,And the Birds Flew Overhead,['Experimental'],2017-05-27,7.8
Kikagaku Moyo,Stone Garden,['Experimental'],2017-05-27,6.0
Lil Yachty,Teenage Emotions,['Rap'],2017-05-26,6.8
James Place,Voices Bloom,[],2017-05-26,7.4
Mulatu Astatke,Mulatu Of Ethiopia,"['Jazz', 'Pop/R&B', 'Global']",2017-05-26,8.7
Man Forever,Play What They Want,['Experimental'],2017-05-26,7.9
T-Pain,T-Wayne,['Rap'],2017-05-25,6.1
Sam Amidon,The Following Mountain,['Rock'],2017-05-25,7.0
Dreamcar,Dreamcar,['Rock'],2017-05-25,5.8
Everything Is Recorded,Close But Not Quite,['Electronic'],2017-05-25,6.7
Wavves,You're Welcome,['Rock'],2017-05-24,6.0
Helium,The Magic City / No Guitars,['Rock'],2017-05-24,8.5
!!!,Shake the Shudder,['Rock'],2017-05-24,7.3
Dr. Octagon,Dr. Octagonecologyst,['Rap'],2017-05-24,8.7
Various Artist,Singles: Official Motion Picture Soundtrack,[],2017-05-23,8.7
Nick Hakim,Green Twins,['Rock'],2017-05-23,7.9
Khotin,New Tab,['Electronic'],2017-05-23,7.8
Faith Evans,The King & I,"['Pop/R&B', 'Rap']",2017-05-23,4.5
The Mountain Goats,Goths,['Rock'],2017-05-22,8.0
Vatican Shadow,Rubbish of the Floodwaters EP,['Experimental'],2017-05-22,7.2
Hanna,The Never End EP,['Electronic'],2017-05-22,7.6
New Jackson,From Night to Night,['Electronic'],2017-05-22,7.2
Will Stratton,Rosewood Almanac,"['Folk/Country', 'Rock']",2017-05-22,7.0
Violent Femmes,Violent Femmes,['Rock'],2017-05-21,9.1
Nick Murphy,Missing Link EP,['Electronic'],2017-05-20,6.2
Wale,Shine,['Rap'],2017-05-20,6.0
Ellen Allien,Nost,['Electronic'],2017-05-20,7.6
Heather Trost,Agistri,"['Folk/Country', 'Rock', 'Pop/R&B']",2017-05-20,7.6
(Sandy) Alex G,Rocket,['Rock'],2017-05-19,8.4
J Hus,Common Sense,['Rap'],2017-05-19,7.8
Michael Mayer,DJ-Kicks,['Electronic'],2017-05-19,7.4
Ho99o9,United States of Horror,['Rap'],2017-05-19,6.7
Jlin,Black Origami,['Electronic'],2017-05-18,8.8
Tigers Jaw,spin,['Rock'],2017-05-18,7.2
Land of Talk,Life After Youth,['Rock'],2017-05-18,7.0
MC Bin Laden,É Grau EP,['Global'],2017-05-18,7.7
Do Make Say Think,Stubborn Persistent Illusions,['Rock'],2017-05-17,7.8
Jonny Nash,Passive Aggressive,"['Electronic', 'Experimental']",2017-05-17,7.6
Moon Duo,Occult Architecture Vol. 2,['Rock'],2017-05-17,7.3
Nightlands,I Can Feel the Night Around Me,['Rock'],2017-05-17,6.8
Harry Styles,Harry Styles,['Pop/R&B'],2017-05-16,6.8
Various Artist,The Bob's Burgers Music Album,[],2017-05-16,6.9
Hoops,Routines,['Rock'],2017-05-16,7.0
Tall Juan,Olden Goldies,['Rock'],2017-05-16,6.2
Paramore,After Laughter,['Rock'],2017-05-15,7.5
Chino Amobi,PARADISO,['Electronic'],2017-05-15,7.7
Spencer Radcliffe & Everyone Else,Enjoy the Great Outdoors,['Rock'],2017-05-15,7.4
The Van Pelt,Sultans of Sentiment,['Rock'],2017-05-15,7.4
Endlings,Endlings,"['Experimental', 'Rock']",2017-05-15,6.8
JAY-Z,Reasonable Doubt,['Rap'],2017-05-14,9.4
Nick Cave & the Bad Seeds,Lovely Creatures: The Best of Nick Cave & The Bad Seeds 1984-2014,['Rock'],2017-05-13,8.1
Sevdaliza,ISON,['Pop/R&B'],2017-05-13,7.7
Slackk,A Little Light,[],2017-05-13,6.3
AceMo,Black Populous,['Electronic'],2017-05-13,7.3
Girlpool,Powerplant,['Rock'],2017-05-12,8.3
Logic,Everybody,['Rap'],2017-05-12,5.2
Brother Ali,All the Beauty in This Whole Life,['Rap'],2017-05-12,7.4
Fazerdaze,Morningside,['Pop/R&B'],2017-05-12,7.0
Animal Collective,Meeting of the Waters EP,"['Experimental', 'Rock']",2017-05-11,7.3
Blondie,Pollinator,['Rock'],2017-05-11,6.7
Oxbow,Thin Black Duke,['Metal'],2017-05-11,7.3
Penguin Cafe,The Imperfect Sea,['Experimental'],2017-05-11,6.4
Alice Coltrane,World Spirituality Classics 1: The Ecstatic Music of Alice Coltrane Turiyasangitananda,['Jazz'],2017-05-10,8.8
Todd Rundgren,White Knight,['Rock'],2017-05-10,6.6
Nite Jewel,Real High,['Pop/R&B'],2017-05-10,7.5
Croatian Amor,Finding People EP,['Electronic'],2017-05-10,6.3
At the Drive In,in•ter a•li•a,['Rock'],2017-05-09,5.8
Juana Molina,Halo,['Folk/Country'],2017-05-09,8.0
Bonnie “Prince” Billy,Best Troubador,['Folk/Country'],2017-05-09,7.4
Full of Hell,Trumpeting Ecstasy,['Metal'],2017-05-09,7.7
Slowdive,Slowdive,['Rock'],2017-05-08,8.6
Black Lips,Satan’s graffiti or God’s art?,['Rock'],2017-05-08,6.6
Joan Shelley,Joan Shelley,['Folk/Country'],2017-05-08,7.6
Niia,I,['Pop/R&B'],2017-05-08,7.1
Horse Lords,Mixtape IV,['Experimental'],2017-05-08,7.0
Green Day,Dookie,['Rock'],2017-05-07,8.7
Grateful Dead,May 1977: Get Shown the Light,['Rock'],2017-05-06,9.0
Forest Swords,Compassion,['Experimental'],2017-05-06,7.8
Tiny Vipers,Laughter,['Experimental'],2017-05-06,7.7
Kweku Collins,Grey EP,['Rap'],2017-05-06,7.6
Perfume Genius,No Shape,['Pop/R&B'],2017-05-05,8.8
The Afghan Whigs,In Spades,['Rock'],2017-05-05,7.6
G Perico,All Blue,['Rap'],2017-05-05,7.9
Cabo Boing,Blob on a Grid,['Experimental'],2017-05-05,7.5
Mac DeMarco,This Old Dog,['Rock'],2017-05-04,7.9
Pond,The Weather,['Rock'],2017-05-04,7.7
Various Artist,HOWSLA,[],2017-05-04,5.8
Priests,Early Recordings,['Rock'],2017-05-04,7.8
Sufjan Stevens,Carrie & Lowell Live,['Folk/Country'],2017-05-03,7.7
Cashmere Cat,9,['Electronic'],2017-05-03,6.1
Kara-Lis Coverdale,Grafts,['Electronic'],2017-05-03,7.7
Aaron Dilloway,The Gag File,['Experimental'],2017-05-03,7.6
BNQT,Volume 1,['Rock'],2017-05-02,5.8
Colin Stetson,All This I Do for Glory,['Experimental'],2017-05-02,7.1
Autarkic,"I Love You, Go Away",['Electronic'],2017-05-02,6.6
WALL,Untitled,['Rock'],2017-05-02,7.6
Mary J. Blige,Strength of a Woman,['Pop/R&B'],2017-05-01,7.7
Ryuichi Sakamoto,async,['Electronic'],2017-05-01,8.0
Sophia Kennedy,Sophia Kennedy,['Electronic'],2017-05-01,7.8
Juliana Hatfield,Pussycat,['Rock'],2017-05-01,6.8
Mark Lanegan Band,Gargoyle,['Rock'],2017-05-01,6.3
Fugazi,In on the Kill Taker,['Rock'],2017-04-30,8.6
Willie Nelson,God’s Problem Child,['Rock'],2017-04-29,7.6
ANAMAI,What Mountain,['Experimental'],2017-04-29,6.8
JMSN,Whatever Makes U Happy,['Pop/R&B'],2017-04-29,6.3
Swans,The Great Annihilator,"['Rock', 'Experimental']",2017-04-29,7.2
Gorillaz,Humanz,"['Electronic', 'Rock']",2017-04-28,6.9
Thurston Moore,Rock n Roll Consciousness,['Rock'],2017-04-28,7.7
The New Year,Snow,['Rock'],2017-04-28,7.4
College,Shanghai,['Experimental'],2017-04-28,5.9
Feist,Pleasure,['Rock'],2017-04-27,7.7
Collin Strange,How I Creep,['Electronic'],2017-04-27,6.8
Luc Ferrari,Hétérozygote / Petite symphonie intuitive pour un paysage de printemps,"['Experimental', 'Rock']",2017-04-27,8.0
Software,Digital-Dance,['Electronic'],2017-04-27,6.5
Sylvan Esso,What Now,['Pop/R&B'],2017-04-26,7.2
Mew,Visuals,['Rock'],2017-04-26,6.2
Tara Jane O’Neil,Tara Jane O’Neil,['Folk/Country'],2017-04-26,7.5
Real Life Buildings,Significant Weather,['Rock'],2017-04-26,6.5
Bruce Springsteen and the E Street Band,"Hammersmith Odeon, London ’75",['Rock'],2017-04-25,9.2
Ravyn Lenae,Midnight Moonlight EP,['Pop/R&B'],2017-04-25,7.8
Tee Grizzley,My Moment,['Rap'],2017-04-25,7.2
Shugo Tokumaru,Toss,['Experimental'],2017-04-25,6.3
Woods,Love Is Love,['Rock'],2017-04-24,6.8
Formation,Look at the Powerful People,['Rock'],2017-04-24,4.2
Valgeir Sigurðsson,Dissonance,['Experimental'],2017-04-24,6.7
Caddywhompus,Odd Hours,['Rock'],2017-04-24,7.8
Nocow,Ledyanoy Album,['Electronic'],2017-04-24,7.4
Portishead,Dummy,['Electronic'],2017-04-23,9.5
Playboi Carti,Playboi Carti,['Rap'],2017-04-22,7.3
Meredith Monk,Key,['Experimental'],2017-04-22,8.7
Rich Homie Quan,Back to the Basics,['Rap'],2017-04-22,7.5
Golden Pelicans,Disciples of Blood,['Rock'],2017-04-22,7.5
GAS,Narkopop,['Electronic'],2017-04-21,8.8
Charly Bliss,Guppy,['Rock'],2017-04-21,7.8
Blue Iverson,Hotep,['Pop/R&B'],2017-04-21,7.5
The Blaze,Territory EP,['Electronic'],2017-04-21,5.8
Shamir,Hope,['Pop/R&B'],2017-04-20,6.0
Mr. Mitch,Devout,['Electronic'],2017-04-20,7.2
J Dilla,Motor City,['Rap'],2017-04-20,6.8
Kelly Moran,Bloodroot,['Experimental'],2017-04-20,7.8
John Mayer,The Search for Everything,['Rock'],2017-04-19,4.9
San Fermin,Belong,['Rock'],2017-04-19,5.8
Hovvdy,Taster,['Rock'],2017-04-19,7.3
Alexandra Savior,Belladonna of Sadness,['Pop/R&B'],2017-04-19,6.0
Kendrick Lamar,DAMN.,['Rap'],2017-04-18,9.2
Ray Davies,Americana,['Rock'],2017-04-18,7.3
Thelonious Monk,Thelonious Monk: Les Liaisons Dangereuses 1960,['Jazz'],2017-04-18,8.7
Loose Tooth,Big Day,['Rock'],2017-04-18,6.6
Joe Goddard,Electric Lines,['Electronic'],2017-04-17,7.2
Phew,Light Sleep,['Experimental'],2017-04-17,7.4
Arto Lindsay,Cuidado Madame,['Experimental'],2017-04-17,7.5
Vicky Chow,Sonatra,['Experimental'],2017-04-17,7.5
Black Flag,Damaged,['Rock'],2017-04-16,9.2
Lydia Ainsworth,Darling of the Afterglow,['Experimental'],2017-04-15,6.6
Mary Lattimore,Collected Pieces,['Experimental'],2017-04-15,7.6
Connoisseur,Over the Edge,['Metal'],2017-04-15,6.4
Various Artist,Miracle Steps (Music From the Fourth World 1983-2017),[],2017-04-15,8.3
Little Dragon,Season High,['Electronic'],2017-04-14,5.6
Raekwon,The Wild,['Rap'],2017-04-14,7.4
DJ Seinfeld,Ruff Hysteria,['Electronic'],2017-04-14,6.9
CupcakKe,Queen Elizabitch,['Rap'],2017-04-14,7.6
Passion Pit,Tremendous Sea of Love,['Pop/R&B'],2017-04-13,7.5
Body Count,Bloodlust,"['Metal', 'Rap']",2017-04-13,5.7
Sun Ra and His Arkestra,Thunder of the Gods,['Jazz'],2017-04-13,8.0
Section Boyz,Soundcheck,['Rap'],2017-04-13,6.6
Actress,AZD,['Electronic'],2017-04-12,7.9
Lil Ugly Mane,Mista Thug Isolation,['Rap'],2017-04-12,8.2
Vanbot,Siberia,['Electronic'],2017-04-12,6.0
Allan Kingdom,LINES,['Rap'],2017-04-12,7.4
