artists,albums,genre,release_date,ratings
Oklou,The Rite of May EP,['Pop/R&B'],2018-03-29,6.7
Don Q,Don Talk,['Rap'],2018-03-29,5.2
Neil Young,Paradox (Original Music From the Film),['Rock'],2018-03-28,6.0
Various Artist,Isle of Dogs (Original Soundtrack),[],2018-03-28,7.3
Mark Pritchard,The Four Worlds,['Electronic'],2018-03-28,7.6
Trouble,Edgewood,['Rap'],2018-03-28,7.8
Miles Davis,"The Final Tour: The Bootleg Series, Vol. 6",['Jazz'],2018-03-27,8.3
Chloe x Halle,The Kids Are Alright ,['Pop/R&B'],2018-03-27,7.6
The Maghreban,01DEAS ,['Electronic'],2018-03-27,7.2
Alice Bag,Blueprint,['Rock'],2018-03-27,7.4
Diplo,California EP,['Electronic'],2018-03-26,7.4
Holger Czukay,Cinema,['Experimental'],2018-03-26,9.0
Sunflower Bean,Twentytwo in Blue ,['Rock'],2018-03-26,6.4
Shuta Hasunuma,2 Tone ,['Experimental'],2018-03-26,7.4
The Kinks,Something Else,['Rock'],2018-03-25,9.3
Tom Waits,Closing Time,['Rock'],2018-03-24,8.7
Cavern of Anti-Matter,Hormone Lemonade ,['Rock'],2018-03-24,7.7
Takecha,Deep Soundscapes,['Electronic'],2018-03-24,7.2
Habibi,Cardamom Garden EP,['Rock'],2018-03-24,6.8
Jack White,Boarding House Reach,['Rock'],2018-03-23,4.7
Lolina,The Smoke,['Experimental'],2018-03-23,8.0
Ursula K. Le Guin,Music and Poetry of the Kesh,['Experimental'],2018-03-23,8.3
Bonny Doon,Longwave,['Rock'],2018-03-23,6.3
Preoccupations,New Material,['Rock'],2018-03-22,7.6
PRhyme,PRhyme 2,['Rap'],2018-03-22,6.1
Bishop Nehru,Elevators: Act I & II,['Rap'],2018-03-22,6.2
Kash Doll,Brat Mail,['Rap'],2018-03-22,6.1
Rich Homie Quan,Rich as in Spirit ,['Rap'],2018-03-21,7.7
Saweetie,High Maintenance EP,['Rap'],2018-03-21,6.7
Caroline Says,No Fool Like an Old Fool ,['Folk/Country'],2018-03-21,7.5
Murs,A Strange Journey Into the Unimaginable,['Rap'],2018-03-21,6.8
Yo La Tengo,There’s a Riot Going On,['Rock'],2018-03-20,7.6
Gulfer,Dog Bless,['Rock'],2018-03-20,7.4
Hell to Pay,Bliss,['Metal'],2018-03-20,7.2
George FitzGerald,All That Must Be,['Electronic'],2018-03-20,6.4
The Decemberists,I’ll Be Your Girl,['Rock'],2018-03-19,6.1
Hot Snakes,Jericho Sirens,['Rock'],2018-03-19,7.7
Chuck Strangers,Consumers Park,['Rap'],2018-03-19,7.4
Will Long,Long Trax 2,['Electronic'],2018-03-19,6.2
Bruce Springsteen,Nebraska,['Rock'],2018-03-18,10.0
Meshell Ndegeocello,Ventriloquism,['Pop/R&B'],2018-03-17,7.8
Oneida,Romance,['Rock'],2018-03-17,7.4
Jeremih,The Chocolate Box EP,['Pop/R&B'],2018-03-17,5.2
Killy,Surrender Your Soul,['Rap'],2018-03-17,6.8
Mount Eerie,Now Only,['Rock'],2018-03-16,8.5
The Neighbourhood,The Neighbourhood,['Rock'],2018-03-16,4.7
Young Fathers,Cocoa Sugar,['Rap'],2018-03-16,7.3
Dungen,Myths 003 EP,['Rock'],2018-03-16,7.6
Essaie Pas,New Path ,['Electronic'],2018-03-16,7.7
03 Greedo,The Wolf of Grape Street,['Rap'],2018-03-15,8.0
Logic,Bobby Tarantino II ,['Rap'],2018-03-15,6.7
Various Artist,Physically Sick 2,[],2018-03-15,7.2
Park Jiha,Communion,['Jazz'],2018-03-15,7.0
Jonny Greenwood,You Were Never Really Here (Original Motion Picture Soundtrack),['Experimental'],2018-03-14,7.8
Albert Hammond Jr.,Francis Trouble,['Rock'],2018-03-14,7.2
August Greene,August Greene,['Pop/R&B'],2018-03-14,6.5
Caroline Rose,LONER,['Rock'],2018-03-14,7.6
Of Montreal,White Is Relic/Irrealis Mood,['Rock'],2018-03-13,7.2
