artist,twitter,instagram,facebook,spotify,soundcloud,youtube
Nicole Scherzinger,"5,793,748","3,513,187","7,884,605","713,666",,"684,543"
I Am Empire,"14,729","1,353","18,931","6,538",28,156
Vampires Everywhere!,286,,177,"20,775",46,0
Benjamin Francis Leftwich,"29,371","8,383","121,800","223,606","21,560","37,996"
Marsha Ambrosius,"425,753","337,057","1,219,227","181,327","13,960","77,044"
Alex Clare,"49,114","12,379","333,936","609,790","84,047","235,283"
Hugh Laurie,"1,422,770",,"5,703,421","131,936",,"126,406"
Irma,"1,922",,,"26,149",,413
Matt Cardle,76,"20,290","825,192","32,114",,"23,261"
Birgit Bidder,,,,197,,
Clare Maguire,"38,178","20,138","42,197","17,467","8,040","7,000"
Mirrors,,,,"2,189",,
Stephanie Cayo,"791,323","875,431","1,193,482","3,890",,0
Zahara,"63,619","309,880","769,696","91,331",,"8,703"
Ab-Soul,"1,020,290","515,418","513,290","376,809","1,460,241",
Brittany Hargest,,,,688,,
Christina Perri,"1,174,795","978,575","5,972,695","1,278,050",,"3,669,212"
Jacob Yates and the Pearly Gate Lock Pickers,,,,105,,
Go Radio,"53,233",,"158,326","84,769",,"8,881"
Mademoiselle Yulia,"51,872","155,937","13,104","1,375",64,"1,855"
