artist,album,freq_xxl
Cali Swag District,The Kickback,5
Nicole Scherzinger,Killer Love,3
I Am Empire,Kings,34
Vampires Everywhere!,Kiss the Sun Goodbye,0
Benjamin Francis Leftwich,Last Smoke Before the Snowstorm,0
Marsha Ambrosius,Late Nights & Early Mornings,4
Alex Clare,The Lateness of the Hour,6
Hugh Laurie,Let Them Talk,0
Irma,Letter to the Lord,5
Matt Cardle,Letters,0
Birgit Bidder,The Life Home,0
Clare Maguire,Light After Dark,0
Mirrors,Lights and Offerings,6
Stephanie Cayo,Llegare,0
Zahara,Loliwe,0
Ab-Soul,Longterm Mentality,10
Brittany Hargest,Love All the Way,1196
Christina Perri,Lovestrong,0
Jacob Yates and the Pearly Gate Lock Pickers,Luck,0
Go Radio,Lucky Street,79
Mademoiselle Yulia,Mademoworld,0
Cerebral Bore,Maniacal Miscreation,0
Mann,Mann's World,15
The Minutes,Marcata,829
Demonaz,March of the Norse,0
Marlon Roudette,Matter Fixed,0
Penguin Cafe,A Matter of Life...,490
Matthew Morrison,Matthew Morrison,0
Lisa Matassa,Me Time,10
Can Bonomo,Meczup,0
Middle Brother,Middle Brother,47
Mikal Cronin,Mikal Cronin,0
Stephen Jerzak,Miles and Miles,4
Mary Byrne,Mine & Yours,5
Jamie Woon,Mirrorwriting,0
Eye Empire,Moment Of Impact,12
Caligula's Horse,Moments from Ephemeral City,4
Sainthood Reps,Monoculture,0
Monstercat,Monstercat 001 - Launch Week,0
Charlene Soraia,Moonchild,0
JPM,Moonwalk,8
The Fudge,Morning Comes Again,21
Mohombi,MoveMeant,0
Seth MacFarlane,Music Is Better Than Words,107
BOY,Mutual Friends,230
The Cinema,My Blood Is Full of Airplanes,65
Of Monsters and Men,My Head Is an Animal,56
David Carreira,n. 1 (No 1),172
Naela,Naela,0
Design the Skyline,Nevaeh,0
Grouplove,Never Trust a Happy Song,222
Iceage,New Brigade,23
New Look,New Look,2942
Lauri Ylonen,New World,0
Nick 13,Nick 13,49
Cloak of Altering,The Night Comes Illuminated With Death,0
Dev,The Night the Sun Came Up,622
Charles Bradley,No Time for Dreaming,46
Bamboo Manalac,No Water No Moon,4
Ed Sheeran,No. 5 Collaborations Project,39
Noel Gallagher's High Flying Birds,Noel Gallagher's High Flying Birds,0
Ninja Sex Party,NSFW,1
Mindless Behavior,#1 Girl,222
Office of Future Plans,Office of Future Plans,332
Katy B,On a Mission,45
Peter Furler,On Fire,22
Blood of the Martyrs,Once More with Feeling,183
Tesseract,One,13233
Jamie Grace,One Song at a Time,1752
WATERS,Out In The Light,1072
Matthewdavid,Outmind,0
Pascal & Pearce,Passport,9
EMA,Past Life Martyred Saints,0
Penguin Prison,Penguin Prison,3
Natalia Kills,Perfectionist,0
Wayne Static,Pighammer,4
f(x),Pinocchio,22
Max Raptor,Portraits,6
The Jezabels,Prisoner,27
Thomas Giles,Pulse,2
YuiKaori,Puppy,18
The Internet,Purple Naked Ladies,2
MaYaN,Quarterpast,7
Quilt,Quilt,1
Yelawolf,Radioactive,67
Class Actress,Rapprocher,6
Whitton,Rare Bird,0
Rebeldes,Rebeldes,0
