artist,album,freq_genius
Nicole Scherzinger,Killer Love,0
I Am Empire,Kings,0
Vampires Everywhere!,Kiss the Sun Goodbye,0
Benjamin Francis Leftwich,Last Smoke Before the Snowstorm,0
Marsha Ambrosius,Late Nights & Early Mornings,0
Alex Clare,The Lateness of the Hour,0
Hugh Laurie,Let Them Talk,0
Irma,Letter to the Lord,0
Matt Cardle,Letters,0
Birgit Bidder,The Life Home,0
Clare Maguire,Light After Dark,0
Mirrors,Lights and Offerings,0
Stephanie Cayo,Llegare,0
Zahara,Loliwe,0
Ab-Soul,Longterm Mentality,0
Brittany Hargest,Love All the Way,0
Christina Perri,Lovestrong,0
Jacob Yates and the Pearly Gate Lock Pickers,Luck,0
Go Radio,Lucky Street,0
Mademoiselle Yulia,Mademoworld,0
Cerebral Bore,Maniacal Miscreation,0
Mann,Mann's World,0
The Minutes,Marcata,0
Demonaz,March of the Norse,0
Marlon Roudette,Matter Fixed,0
Penguin Cafe,A Matter of Life...,0
Matthew Morrison,Matthew Morrison,0
Lisa Matassa,Me Time,0
Can Bonomo,Meczup,0
Middle Brother,Middle Brother,0
Mikal Cronin,Mikal Cronin,0
Stephen Jerzak,Miles and Miles,0
Mary Byrne,Mine & Yours,0
Jamie Woon,Mirrorwriting,0
Eye Empire,Moment Of Impact,0
Caligula's Horse,Moments from Ephemeral City,0
Sainthood Reps,Monoculture,0
Monstercat,Monstercat 001 - Launch Week,0
Charlene Soraia,Moonchild,0
JPM,Moonwalk,0
The Fudge,Morning Comes Again,0
Mohombi,MoveMeant,0
Seth MacFarlane,Music Is Better Than Words,0
BOY,Mutual Friends,0
The Cinema,My Blood Is Full of Airplanes,0
Of Monsters and Men,My Head Is an Animal,0
David Carreira,n. 1 (No 1),0
Naela,Naela,0
Design the Skyline,Nevaeh,0
Grouplove,Never Trust a Happy Song,0
Iceage,New Brigade,0
New Look,New Look,0
Lauri Ylonen,New World,0
Nick 13,Nick 13,0
Cloak of Altering,The Night Comes Illuminated With Death,0
Dev,The Night the Sun Came Up,0
Charles Bradley,No Time for Dreaming,0
Bamboo Manalac,No Water No Moon,0
Ed Sheeran,No. 5 Collaborations Project,0
Noel Gallagher's High Flying Birds,Noel Gallagher's High Flying Birds,0
Ninja Sex Party,NSFW,0
Mindless Behavior,#1 Girl,0
Office of Future Plans,Office of Future Plans,0
Katy B,On a Mission,0
Peter Furler,On Fire,0
Blood of the Martyrs,Once More with Feeling,0
Tesseract,One,0
Jamie Grace,One Song at a Time,0
WATERS,Out In The Light,0
Matthewdavid,Outmind,0
Pascal & Pearce,Passport,0
EMA,Past Life Martyred Saints,0
Penguin Prison,Penguin Prison,0
Natalia Kills,Perfectionist,0
Wayne Static,Pighammer,0
f(x),Pinocchio,0
Max Raptor,Portraits,0
The Jezabels,Prisoner,0
Thomas Giles,Pulse,0
YuiKaori,Puppy,0
The Internet,Purple Naked Ladies,0
MaYaN,Quarterpast,0
Quilt,Quilt,0
Yelawolf,Radioactive,0
Class Actress,Rapprocher,0
Whitton,Rare Bird,0
Rebeldes,Rebeldes,0
Fallstar,Reconciler. Refiner. Igniter.,0
