artist,album,rating
The HIRS Collective,Friends. Lovers. Favorites.,79
Ibibio Sound Machine,Eyio,63
Jj18,jj's prayer,60
Shuggie Otis,Inter-Fusion,58
Dumlords,Smiles For Miles,60
Ghost-Note,Swagism,80
Lisa Wulff Quartett,Wondrous Strange,80
Tomemitsu,The Cave,85
Slum Village,The Lost Scrolls Vol.2 (Slum Village Edition),70
GusGus,Don't Know How to Love,60
Ellevator,Ellevator,80
Donovan Woods,Both Ways,78
Doon Kanda,Luna,70
King Goat,Debts of Aeons,83
Serum Dreg,Lustful Vengeance,90
Sera Cahoone,The Flora String Sessions,0
The Who,Live at Fillmore East 1968,87
International Harvester,Remains,84
OBUXUM,H.E.R.,80
Agua Roja,Roses,0
Eyes Of Others,Lust Unrequited,80
Maceo Plex,Fabric 98,76
Jesus Jones,Passages,0
Alma Elste,Dreams Gone Quieter,0
Evelyn Ida Morris,Evelyn Ida Morris,0
D.A. Stern,Isn't It Obvious?,0
The Flaming Lips,Scratching the Door: The First Recordings of the Flaming Lips,0
Alison Moyet,The Other Live Collection,0
Kink Gong,Music Is Not a Copy,0
Thomas Fehlmann / Terrence Dixon,We Take It From Here,0
Father Murphy,Rising. A Requiem for Father Murphy.,0
Lack The Low,One Eye Closed,86
Autechre,NTS Session 3,83
PRETTYMUCH,PRETTYMUCH An EP,84
GRMLN,Explore II,0
Ralo,12 Can't Stop Shit,0
ASAP TyY,Troubles of the World,0
The Vegetablets,The Vegetablets,0
Sasha Sloan,sad girl,80
Various Artists,BC35: The 35 Year Anniversary of BC Studio,73
GlokkNine,Bloodshells Revenge,73
Litku Klemetti,Taika Tapahtuu,0
Kosmo Kat,Rose,0
Marcelo Cabral,Motor,65
Chilly Gonzales,Other People's Pieces,80
The Submissives,Pining for a Boy,22
VIXX,EAU DE VIXX,100
Evilnox,Honey Moon and Blackened Stars,95
Lena Willikens,Selectors 005,77
Adana Twins,Jupiter,56
Waveshaper,Lost Shapes,65
Cora,El Rapto,74
emamouse X yeongrak,mouth mouse maus,65
Michal Turtle,Return to Jeka,0
Luigi Tozzi,Ecate,0
Ora Iso,Image Certifies,60
In Love With A Ghost,gay story,65
Rrhea,Rrhea,67
Jack Stauber,HiLo,74
N. Heroux,Frozen Dinner,58
Sebnem Ferah,Parmak izi,58
Tinashe,Joyride,66
Princess Nokia,A Girl Cried Red,58
Rival Consoles,Persona,84
Confidence Man,Confident Music For Confident People,85
King Tuff,The Other,68
Laura Veirs,The Lookout,78
A Place To Bury Strangers,Pinned,61
Young Thug,Hear No Evil,60
Mouse on Mars,Dimensional People,68
Carnage,Battered Bruised & Bloody,50
Sofi Tukker,Treehouse,75
Smokepurpp & Murda Beatz,Bless Yo Trap,59
Manic Street Preachers,Resistance Is Futile,68
Say Sue Me,Where We Were Together,80
Breaking Benjamin,Ember,60
Chrome Sparks,Chrome Sparks,80
Sarah Davachi,Let Night Come On Bells End The Day,81
Many Rooms,There Is a Presence Here,80
John Prine,The Tree of Forgiveness,76
A Hawk and a Hacksaw,Forest Bathing,75
nothingnowhere.,ruiner,56
Brazilian Girls,Let's Make Love,80
Mol,JORD,85
Isaac Gracie,isaac gracie,55
Night Flowers,Wild Notion,70
The Damned,Evil Spirits,70
Josh Rouse,Love in the Modern Age,74
Novelist,Novelist Guy,72
Fiddlehead,Springtime and Blind,90
u-Ziq,Challenge Me Foolish,72
Malena Zavala,Aliso,71
Wrekmeister Harmonies,The Alone Rush,80
L.A. Salami,The City of Bootmakers,80
Jim Jones,Wasted Talent,76
Human Tetris,Memorabilia,73
Stonefield,Far From Earth,61
Bryde,Like an Island,70
Slug,HiggledyPiggledy,72
Odeko,Rose Tinted Vision Implant,72
The Moondoggies,A Love Sleeps Deep,64
Goldmund,Occasus,70
Prof,Pookie Baby,73
Lewsberg,Lewsberg,84
Wrong,Feel Great,75
Florentino,Fragmentos,73
Josh T. Pearson,The Straight Hits!,66
Space Invadas,Wild World,68
RLYR,Actual Existence,76
Animal Flag,Void Ripper,63
Juliana Hatfield,Juliana Hatfield Sings Olivia Newton-John,74
Pac Div,1st Baptist,74
Bodega Bamz,PAPI,90
Marrakesh,Cold as a Kitchen Floor,76
Blu & Nottz,Gods in the Spirit Titans in the Flesh,77
Beak>,L.A. Playback,66
War On Women,Capture the Flag,73
Sim Hutchins,Clubeighteen2thirty,69
Arikon,The Prophet's Blood Is Boiling,73
Crystales,Crystales,77
The Reign of Kindo,Happy However After,76
Boothroyd,Pure Country,63
Kate Mo$$,I STEPPED ON A DEAD RATS HEAD TODAY,65
Gosheven,Bivaq,70
Mackenzie Nicole,The Edge,56
Low Jack,Riddims du Lieu-dit,80
Kermes,We Choose Pretty Names,80
Wendy McNeill,Hunger Made You Brave,94
The Alchemist,Lunch Meat,90
Simone Felice,The Projector,90
Ufo361,808,66
mmph,Dear God,73
Holiday Inn,Torbido,75
Reveries,Reveries,68
Chrisette Michele,Out of Control,61
Black Dresses,WASTEISOLATION,67
Pizzagirl,An Extended Play,35
Nekrogoblikon,Welcome to Bonkers,70
Our Place Of Worship Is Silence,With Inexorable Suffering,62
TACONAFIDE,SOMA 05 mg,10
Rachael Cantu,Love Rush,90
Bush Tetras,Take the Fall,60
Suave,Portugues Suave,50
Dead Combo,Odeon Hotel,65
Great Lake Swimmers,Side Effects,81
Titica,Pra Que Julgar,74
Queen Kwong,Love Me To Death,80
Erik Friedlander,Artemisia,75
Derek Smalls,Smalls Change (Meditations Upon Ageing),53
Misnomer,Neighborhood,70
Leila Abdul-Rauf,Diminution,60
Robert Glasper & Kaytranada,The ArtScience Remixes,67
John Roberts,Spill,85
Jason Aldean,Rearview Town,69
Gozu,Equilibrium,74
Illy,Voo Longe,86
Frequency Drift,Letters to Maro,90
The Nels Cline 4,Currents Constellations,80
The Baggios,Juliana,60
Priest,The Lost Lions,80
Nino Tempo,Purveyor of Balladry: The Best of Nino Tempo on Atlantic,80
Various Artists,Flowers From The Ashes: Contemporary Italian Electronic Music,80
Oceanator,Lows,0
Various Artists,Baby Driver Volume 2: The Score for a Score,0
Crematory,Oblivion,0
Home$lice,Howdy,60
Breakfast Muff,Crocodile,0
Coping Skills,Worst New Music,0
Bacchae,Bacchae,0
Winter Dies In June,Penelope Sebastian,0
DJ Seinfeld,Sakura EP,0
The Album Leaf,The Endless (Original Motion Picture Soundtrack),0
The Sorority,Pledge,90
Bazzi,COSMIC,70
Knxwledge,Gladwemet,68
PeeWee Longway,Spaghetti Factory,67
Weekday Wolves,The World's Most Liveable City,63
Autechre,NTS Session 2,88
