artist,album,rating
Nick Klein,Lowered Flaming Coffin,62
Dagon,Back to the Sea,91
Jonas Reinhardt,Conclave Surge,79
Yasemin Mori,Estrella,55
L I M,Higher Living,65
Pop X,Musica Per Noi,60
Patawawa,Bedroom,70
Plad Fine$$e,PLAD Fine$$e,52
Jamie Saft,Solo a Genova,50
Young & Sick,Ojai,65
Mediterranean Deconstruction Ensemble,Day De Senar,75
Midnight Danger,Malignant Force,75
Project Pitchfork,Akkretion,75
Paletti,Super,70
Keno,Around The Corner,81
Kyo Itachi,Makkakosappo,56
The Bunny Tylers,Chance Meetings,62
Handsome Ghost,Welcome Back,36
Dirtmusic,Bu Bir Ruya,80
Oscar Jerome,Where Are Your Branches?,73
Django Django,Marble Dubs,72
Jose Gonzalez,& The Brite Lites at Svenska Grammofonstudion,64
Cory Asbury,Reckless Love,22
Tek.lun,ALLOW IT!,71
Sergio Godinho,Nacao Valente,62
Dumptruck,Wrecked,65
Pony Face,Deja Vu,80
Eric Benoit,Heartrender,71
Humans,The Feels,50
Rick Springfield,The Snake King,70
Television Personalities,Beautiful Despair,73
Dengue Dengue Dengue,Son de los Diablos,76
Detboi,Ice Cold,76
Mark Grusane,The Real Sound Of Mark Grusane,82
Krust,The Portal / Concealing Treachery,82
Loudness,Rise to Glory,0
Clara Louise,Die guten Zeiten,0
Rumah,Spartacist EP,0
Trudge,Negative Spaces EP,0
Sonny Digital,Woke You Up,0
Mariel Ito,2e Komst,0
Tinguely Da Chnacht,Calvados,0
Banque De France,Ti Amo Diaries B,0
Mike Posner,I Was Born in Detroit on a Very Very Very Very Very Very Very Cold Day,0
David Portelance,Un abri contre le vent,0
Marjolaine Morasse,Chansons de laine,0
Futanari>>>Torappu / No Joy,hutanari>>>toratsupu / No - Joy,0
Jonathan Kawchuk,North,0
Till Bronner Dieter Ilg,Nightfall,0
Lil Blizzard,Ricochet,0
Bonson,Postanawia Umrzec,0
Titty Citty,An Oil Painting of Bono That Resembles Stevie Wonder,0
Ruby My Dear,Brame,0
Mistah F.A.B.,Thug Tears,0
Moonwalks,In Light (The Scales In The Frame),0
Vargrav,Netherstorm,0
Borrachero,Borrachero,0
Bind Torture Kill,Visceres,0
Fiedel,Berghain 08,56
Anvil,Pounding the Pavement,60
DJ Lily,BROR05,70
Ilyas Ahmed,Closer To Stranger,70
Etant Donnes With Michael Gira,Offenbarung Und Untergang By Georg Trakl,70
Jeff Mills,And Then There Was Light,72
Hollywood Sinners,Khome Kakka,74
VNCHY,The Art of Survival,80
John Hollenbeck Large Ensemble,All Can Work,80
Ben Miller Band,Choke Cherry Tree,80
Therion,Beloved Antichrist,80
Bert Jansch,A Man I'd Rather Be (Part 1),87
Mike Shinoda,Post Traumatic,62
iKON,Return,65
Christoph De Babalon,If You're Into It I'm Out of It,90
Davichi,&10,59
Minus & MrDolly,Man With a Plan,73
Graham Lambkin,No Better No Worse (Vol 1),79
Sy Ari Da Kid,Better Safe Than Sy Ari,73
Patron,Totem,20
Jakub Lemiszewski,Bubblegum New Age,55
Hernan,10.44 Mixtape,70
La Boum Fatale,Holygrains,78
Soulja Boy Tell 'Em,King Soulja 8,22
Small Crush,Blush,80
John 5 & The Creatures,It's Alive,0
Chihei Hatakeyama,Void XV,0
Caron,Haunted Memory,0
The Prefab Messiahs,Psychsploitation Today,0
Winter Wilson,Far off on the Horizon,68
Luby Sparks,Luby Sparks,76
Neana,Evaser,71
Target,Alive,59
Fromis_9,To. Heart,62
Lee Jonghyun,Metropolis,65
Sewoon,After,64
AKB48,Pu tachiha anoRi noYe Ming kewoZhi tsuteiru,66
Fancey,County Fair,60
OMB Peezy & Sherwood Marty,Young & Reckless,68
Bekon,Get with the Times,0
Sayuko Nano,Tengoku Hajimemashita,0
People In The Box,Kodomo Rengou,0
Yanaginagi,Natte,0
Unison Square Garden,Mode Mood Mode,0
Toe,That's Another Story,0
Jonghyun,Poet | Artist,79
Yung Bans,Yung Bans Vol. 3,62
Atrium Carceri & Herbst9,Ur Djupan Dal,76
Rainz,Shake You Up,70
Echodrone,Past Preset and Future,87
Vinicius Barros,Banzo,69
Zagreb,Wannabe,75
Psymun,Marsh Pond,0
tha ( o_oV ) tho,tha ( o_oV ) tho,0
Boncana Maiga,Koyma Hondo,0
Ifs,Manifold Basketball,0
Somali Yacht Club,The Sea,75
D.A. Stern,Aloha Hola,70
Ravi,Nirvana,67
Valentin Mase,Military Lies,85
JVLY,Ache,76
Boris Barksdale,Eternal Remorse,0
wosX,London 2041,0
Slaughterhouse,Slaughterhouse,75
Elysia Crampton,DELETE,51
Australes,A la Mitad de la Noche,70
Vacant,Origins,65
HKE,Charming Devil,80
Francesco,Arriere Saison,10
JPEGMAFIA,Veteran,82
tUnE-yArDs,I can feel you creep into my private life,73
Porches,The House,71
Fall Out Boy,M A N I A,53
Shopping,The Official Body,72
First Aid Kit,Ruins,71
The Liminanas,Shadow People,81
The Go! Team,Semicircle,71
SiR,November,69
EDEN,vertigo,40
Belle & Sebastian,How to Solve Our Human Problems (Part 2),74
Bahamas,Earthtones,81
They Might Be Giants,I Like Fun,63
Justine Skye,Ultraviolet,60
Closer,All This Will Be,72
Xylouris White,Mother,76
Glen Hansard,Between Two Shores,66
Salad Boys,This Is Glue,73
Pendant,Make Me Know You Sweet,78
Daniel Avery,Slow Fade,71
Mai Lan,Autopilote,74
Starcrawler,Starcrawler,70
The Shins,The Worm's Heart,57
St. Beauty,Running to the Sun,78
Sin Fang Soley & Orvar Smarason,Team Dreams,80
Negative Gemini,Bad Baby,80
Ghost Music,I Was Hoping You'd Pass by Here,85
Alice Caymmi,Alice,67
The Xcerts,Hold on to Your Heart,86
Moon Taxi,Let the Record Play,55
De Lux,More Disco Songs About Love,60
Of Mice & Men,Defy,80
ShitKid,This Is It,64
Matthewdavid,Time Flying Beats,71
Cadence Weapon,Cadence Weapon,82
Soho Rezanejad,Six Archetypes,50
A Grave With No Name,Passover,69
HollySiz,Rather Than Talking,70
Xul Zolar,Fear Talk,71
Bedbug,I'll Count to Heaven In Years Without Seasons,65
Meat Beat Manifesto,Impossible Star,66
Phew,Voice Hardcore,75
Mika Vainio + Ryoji Ikeda + Alva Noto,Live 2002,82
Strand of Oaks,Harder Love,57
Tango With Lions,The Light,73
Kailee Morgue,Medusa,62
Whomadewho,Through the Walls,69
Super Whatevr,Never Nothing,74
Domo Genesis,Aren't U Glad You're U,49
Leslie Winer & Jay Glass Dubs,YMFEES,60
Speak Low If You Speak Love,Nearsighted,56
Get Cape. Wear Cape. Fly.,Young Adult,53
Ron Gallo,Really Nice Guys,73
Hanz,Plasty I,66
Caitlyn Smith,Starfire,79
Bow Church,Canon,80
Various Artists,The Harvest of a Quiet Eye,71
Persuasion,Quatermass,68
Rashid,Crise,74
Generic Animal,Generic Animal,76
Wafia,VIII,62
Moon Duo,Jukebox Babe / No Fun,71
Half Japanese,Why Not?,70
Rome,Hall of Thatch,70
Fetty Wap,For My Fans,37
Lane 8,Little by Little,69
Nicklas Sorensen,Solo 2,63
Laraaji,Vision Songs Vol. 1,64
Black Label Society,Grimmest Hits,70
Toto Bona Lokua,Bondeko,75
Cane Hill,Too Far Gone,80
Inara George,Dearest Everybody,80
Sfera Ebbasta,Rockstar,52
Sollado,Sollado,63
Martinho Da Vila,Alo Vila Isabeeeel!!!,68
Aidan Baker & Gareth Davis,Invisible Cities,68
Paul Wall,Bounce Backs Over Setbacks,69
Planet Asia,The Golden Buddha,67
Saib.,Sailing,80
Judah Warsky,Avant/Apres,72
Maisie,Maledette Rockstar,77
Andrea Balency,Around and Back and Around,51
Peach Club,Cherry Baby,74
Joe Perry,Sweetzerland Manifesto,50
The Fiction Aisle,Jupiter Florida,60
Belle Adair,Tuscumbia,70
Aalko,No Man Is An Island,76
Philip H. Anselmo & The Illegals,Choosing Mental Illness as a Virtue,80
Andre Ethier,Under Grape Leaves,80
Yungblud,Yungblud,80
Rian Treanor,Contraposition,80
Fleetwood Mac,Fleetwood Mac [Deluxe],95
Phillip Phillips,Collateral,74
Various Artists,Instant Love Volume 1,74
Yotam Avni,Perlude to Dybbuk,67
Marcus Worgull,Broad Horizons,33
Fatboy Slim,Fatboy Slim vs. Australia,42
Janove,Hengtmann,75
Sik-K,Trapart,60
Das Plastixx,Button Up,75
Talis E Welinton,Os Mineiros Tao Chegando (Ao Vivo),45
Tim Knol,Cut the wire,80
Throwing Snow,Trebucher,50
MILCK,This Is Not The End,65
Cara Calma,Sulle Punte per Sembrare Grandi,65
Recayd Mob,Calzone Tapes Vol. 2,46
La Notte,Volevo Fare Bene,60
Schlammpeitziger,Damenbartblick auf Pregnant Hill,80
Aviations,The Light Years,68
Zoology,Bloom,78
Walking Papers,WP2,95
Silver & Gold,Point A - Point A,92
Various Artists,"""I Could Go Anywhere But Again I Go With You""",75
Ashley Henry And The RE:ensemble,Easter EP,83
The Suzan,Konichiwa,75
Various Artists,I Could Go Anywhere But Again I Go With You,70
Rosalie.,Flashback,80
Shudder To Think,Ten Spot,70
Hanna Benn,Divide,71
Van William,Countries,55
Mudhoney,LiE,69
John Gorka,True in Time,70
Sylvie Courvoisier Trio,D'Agala,74
Kit Downes,Obsidian,80
Arkona,Khram,0
Devin Dawson,Dark Horse,0
Pond,Tales from the Grease Trap Vol. 7: Pond - Live at the X-Ray Cafe November 6th 1993,0
Banque De France,Ti Amo Diaries A,0
Yhdarl,Loss,0
Clamfight,III,0
Helen Kelter Skelter,Melter,0
Hilary Hahn,Retrospective,0
Qing Miao Dan Xie ,Xiao Quan Zi ,0
Rimas & Melodias,Rimas & Melodias no Estudio Showlivre,0
LANCO,Hallelujah Nights,0
Janice,Fallin' Up,40
Spectral Lore & Jute Gyte,Helian,44
Equinox,It's Hard To Be Happy When Your Head Is Full Of Sin,60
Gary Numan,Dance,60
Hany Mehanna,The Miracles of the Seven Dances,70
The Bad Plus,Never Stop II,75
John Surman Nelson Ayres & Rob Waring,Invisible Threads,75
MOTORCADE,MOTORCADE,78
Wes Youssi & The County Champs,Down Low,79
Bobo Stenson Trio,Contra la Indecision,80
The Residents,The Third Reich 'N Roll [Preserved Edition],80
The Residents,Meet The Residents [Preserved Edition],81
Water From Your Eyes,All A Dance,74
Patricia Lopes,O Feminino em Pessoa,70
Ernesto Symphonic Ensemble,Insieme,68
Noiseware,Clouds At Last,60
Juan De Fuca,Solve/resolve,84
Astronauta Marinho,Perspecta,60
Somatic Responses,Pattern Finding,0
The Neptune Darlings,Principium Sequentia,0
Original Soul Invented,A Sinner's Mercy,0
Higher Brothers,Journey to the West,47
Rejjie Snow,Dear Annie Pt. 1,61
JBJ,True Colors,61
Chungha,Offset,55
Kill The Moose,The World Is Your Oyster,77
Little Glee Monster,Juice,63
Textasy,Deep South Bass Cuts,70
Yorgan & Yarzan,Not From This Planet,38
Fauves,Les Fauves,75
Lil Zubin & Fantasy Camp,Another Heart 2 Break,71
Jayda G & Alexa Dash,Diva Bitch,72
Orcun Ayata,Meaning,0
Hendo,lo fi beats from the 2018 debut ep by HENDO,0
CROW BLACK SKY,Sidereal Light: Volume One,0
Yuuka Ueno,U to You,0
Wanima,Everybody!!,0
Dave East,P2,80
Berner,The Big Pescado,74
Bill $aber,Kill Everything,69
Muyassar Kurdi,Travelling,57
xxxy,A Fleeting Moment,83
Barrio Sur,bdd'aa shok (heart break),80
Juicy J,Shutdafukup,80
Vic Spencer & SonnyJim,Spencer For Higher,66
Textasy,Dallas Gun Club,78
The Thing With Five Eyes,Noirabesque,58
Wooyoung,heeojil ddae,59
Eindkrak,Brullend Staal,67
Alfredo Thiermann And Tres Warren,Land in the Sky,76
Zeno Van Den Broek,Paranon,66
Fede Lng & Deejay Astral,Pack The Pipe,84
Killing Surfers,Nothing Is Heading,65
Various Artists,Compilation For Dominica,0
Bruised Skies,Remnants,0
Christian Kleine,Electronic Music from the Lost World: (1998-2001),0
Pier Luigi Andreoni & Francesco Paladino,Aeolyca,0
Travo,n'O SILO,0
Laura Palmer's Death Parade,Among Us All,68
AZOMALI,WHERE THE MANGOS GROW,75
Light Blending In,Last Word,0
GNZ48,San Jiao Han Shu ,62
ArchivOne,Dames Sur L'Acide,81
FBG Duck,This How I'm Coming 2,70
Shame,Songs of Praise,81
Camila Cabello,Camila,70
Typhoon,Offerings,82
BORNS,Blue Madonna,65
Black Rebel Motorcycle Club,Wrong Creatures,65
Maxo Kream,Punken,75
Sylvan Lacue,Apologies in Advance,75
Jonny Greenwood,Phantom Thread,76
Anderson East,Encore,78
Lil Skies,Life of a Dark Rose,64
The Neighbourhood,To Imagine,59
Panda Bear,A Day With the Homies,72
Rosemary & Garlic,Rosemary & Garlic,73
tpsb,Sekundenschlaf,76
The Academic,Tales from the Backseat,67
Black Veil Brides,Vale,59
Crater,Unearth,64
Tonight Alive,Underworld,70
Jaguwar,Ringthing,70
Lou Rebecca,Lou Rebecca,67
LPX,Bolt in the Blue,67
Joe Satriani,What Happens Next,70
Unlikely Friends,Crooked Numbers,80
Haiyti,Montenegro Zero,71
Hamferd,Tamsins Likam,80
Pola Rise,Anywhere But Here,69
The Green Child,The Green Child,70
Umphrey's McGee,It's Not Us,71
Avatar,Avatar Country,53
Francesca Michielin,2640,75
Panphage,Jord,66
Young Dreams,Waves 2 You,67
Spice Boys,Glade,60
Corrosion of Conformity,No Cross No Crown,62
The Regrettes,Attention Seeker,70
Peder Mannerfelt,The 3D Printed Songbook,73
Archivist & Fugal,Undertow,66
Cosmo,Cosmotronic,77
SKYGGE,Hello World,64
Microtrauma,Sonar,66
Scrounche Boys,Letters from the Sperm Bank,81
Savoy,See The Beauty In Your Drab Hometown,59
Heavy Bell,By Grand Central Station,61
Tiny Little Houses,Idiot Proverbs,73
Sure Sure,Sure Sure,78
The Sufis,After Hours,70
SYML,In My Body,61
Mythic Sunship,Upheaval,70
Skott,Stay Off My Mind,80
Nitro,No Comment,55
No It's Fine.,No It's Fine.,79
Dean McPhee,Four Stones,77
Audrey Horne,Blackout,54
Walker McGuire,Walker McGuire,47
Weird Bloom,Blisstonia,68
Radio Havanna,Utopia,63
Bloodshot Dawn,Reanimation,63
Wendyfix,We Have The Cracks,69
Cassie Marin,S.O.S.,74
Hypnotic Kingdom,Would You Be There For Me?,70
Toy Cars,Paint Brain,66
To Kill A King,The Spiritual Dark Age,77
The Prids,Do I Look Like I'm In Love?,65
K. Forest,When It's All Said and Done,80
Betty Davis,Nasty Gal,88
Dabrye,One/Three [2018 Remaster],75
Dabrye,Instrmntl,70
Lost Horizons,Brighton,60
Heidevolk,Vuur van Verzet,64
Leaves' Eyes,Sign of the Dragonhead,89
Datsik,Master of Shadows,25
Pop Up!,Tasty,39
The Green Child,The Green Child,58
Lonny X,Full Court Press,65
Stanislav Tolkachev,Blue Mood,77
Caroline Pennell,Phases,75
Laurence Guy,All I See Is Her,75
Clau,#Relaxa,70
Michael Stasis,RIP IV,70
Knapsack,Bend,60
Dirty Sidewalks,Bring Down the House Lights,90
Hussey,Hitchens,62
Riccardo Chailly,Stravinsky: Chant funebre (World Permiere Recording) / Le sacre du printemps,70
Jinkx Monsoon,The Ginger Snapped,70
OroborO,Laughing Death,100
Gagle,VANTA BLACK,70
La Vice & Co.,Two Sisters from Bagdad,90
Kayak,Seventeen,50
LPX,LPX,0
Tankard,Hymns For The Drunk,0
Skids,Burning Cities,0
Yoke Lore,Goodpain Remix EP,0
Remy,Remy,0
Closing Eyes,Soft Years,0
IZNiik,EP 2,0
,untitled,0
GENIUS,A '98 Story,0
Case Mayfield,Egomaniac,0
Ouzo Bazooka,Songs From 1001 Nights,60
Dr. Lonnie Smith,All in My Mind,60
Berry,Everything Compromised,63
New Faces,Straight Forward,70
Various Artists,Dr. Demento Covered in Punk,70
Various Artists,Tokyo Nights: Female J-Pop Boogie Funk 81-88,73
Big Star,Live At Lafayette's Music Room - Memphis TN,80
Bob Dylan,The Music Which Inspired Girl From The North Country,80
Todd Rundgren,A Wizard A True Star,94
Todd Rundgren,Something/Anything?,95
Venetian Snares,She Began to Cry Tears of Blood Which Became Little Brick Houses When They Hit the Ground,58
LSDXOXO,Body Mods,69
Black Merlin,Archives,82
Slenderbodies,Fabulist: Extended - EP,45
Indica,Anxious Angel,67
Pabllo Vittar,Up Next Session: Pabllo Vittar,0
Kensuke Ushio,DEVILMAN Crybaby Original Soundtrack,80
MXM,Match Up,64
Nogizaka46,Pu dakenoJun  ~Under Super Best~,63
Elton Jones,Elton Jones,38
Nim Sadot,Nim Quartet,81
Wilted Woman,Trapezoid Tappers,0
Exlimitir,It Weighed Itself in Silver,0
Yabai T-Shirts Yasan,Galaxy Of The Tank-top,0
Oh My Girl,Secret Garden,70
Tarab + Artificial Memory Trace,Obex,43
Powlos,Pareidolia,75
Dincarri E Luisheen,Vida Babilonica,50
P*I*G,The Impulse Church,0
SZCH,House to Save the House,0
Infinite,Top Seed,62
L'imperatrice,Matahari,63
Chima Ede,Sand,61
Charisma.com,Charisma.BEST,47
Stray Kids,Mixtape,57
The Citradels,God Bless,74
Block B,Re: Montage,56
Johnny Utah,Johnny Utah,65
Koufar,My Name Is My Name,25
Mustn'ts,Mustn'ts,0
Maenad Veyl,Somehow Somewhere They Have Heard This Before,0
Hazy Sea,Cargo Incognito,0
STLNDRMS,Veggie Tacos III,61
Deszcz,III,68
Sour Gout,Derive,0
Natriums,Deja vu,0
Flatsound,Hummingbird,68
Onepointwo,Plays Library Techno Vol 1 & 2,59
Various Artists,Dirty Tapes From Russia Vol. II,67
Pacificadores,A Rua,0
Impossible Nothing,Chronemenomicon,0
cupcakKe,Ephorize,78
Profligate,Somewhere Else,72
Weedpecker,III,72
Noiseheads,Sitcoms For Aliens,52
Watain,Trident Wolf Eclipse,75
Shining,X - Varg Utan Flock,80
Certain Creatures,Nasadiya Sukta,70
Summoning,With Doom We Come,66
Tricklebolt,Tricklebolt,56
Hoodrich Pablo Juan,Rich Hood,63
One Week Notice,One Week Notice,42
Sinistro,Sangue Cassia,69
Twin Oaks,Living Rooms,73
EDD-989,Journey To The Core Of The Galaxy,67
Pink Flamingo Rhythm Revue,Pink Flamingo Rhythm Revue,63
Aul,Uto,69
Smetana Jiri Belohlavek & Czech Philharmonic,Ma Vlast,62
Jayline,Lost City Of Beats,34
The #1s,Another Side of the Number Ones,49
Lizzy Farrall,All I Said Was Never Heard,78
Bass Clef,(minimum wage) (zero hours) (infinite forest),69
Matthew Herbert,A Fantastic Woman [Original Motion Picture Soundtrack],72
Magick Touch,Blades Chain Whips & Fire,58
Eeajik,gongjin (Resonance),67
Mr. Sawed-Off,The Janitor,41
Bleed American,It Probably Isn't,15
Mazut,Atlas,65
Blackbird,Lonely Bird,64
Kelvin T,Sedative,66
The Myths,MAKE,75
Peter Blegvad & Chris Cutler John Greaves Karen Mantler Bob Drake,Go Figure,80
Dirk De Akkers & Erik Slinge,Nieuw Qniversum,0
STUPID COSMONAUT,Digitalis,0
Talis E Welinton,Pegada Bruta,0
Henry Canyons,La Cote West,0
Hodge,Beneath Two Moons,76
Dekonstruktor,No Way Back,61
Daniel Romano,Nerveless,80
Hint,Walkie-Talkie,55
Daniel Romano,Human Touch,80
Awakebutstillinbed,what people call low self - esteem is really just seeing yourself the way that other people see you,78
Momoland,Great!,63
Bloodless Mushroom,Cymatella,38
N.Flying,The Hottest: N.Flying,55
Shuta Sueyoshi,Jack In the Box,59
The Great Machine,Respect,57
Abigor,Hollenzwang (Chronicles Of Perdition),71
Barlovento,Bairoa,73
Follows,Nyctophile,70
Johnnys' West,Westival,65
Finisterre Project,Hostsonaten,83
Pariahkai,inanimate,10
The Heartwood Institute,Secret Rites,40
Photis Ionatos,Elegio,0
Mirt,Songs and Prayers from the Kathmandu Valle,0
Michael Millions,Hard to Be King,0
Salt 'N' Paper,More Than Just Circles,0
Jeff Rosenstock,POST-,82
Scallops Hotel,Sovereign Nose of (Y)our Arrogant Face,76
When We Land,Introvert's Plight,76
VVV x Sangam,Tomorrow Comes,60
Bloodbather,Pressure,52
The Dogs,The Grief Manual,69
Misha Mishajashvili,2018,71
Modular Phaze,Isolated From Perception EP,62
Gangrena Gasosa,Gente Ruim So Manda Lembranca Pra Quem Nao Presta,33
Gold/Shade,WAVES,64
Sonoko,Les Anges Les Bonheurs,58
Red Or Dead,Trotsky Waltz,56
Kool Skull,Ow2bkool,5
Bryant Canelo,2017 end of year mixtape,56
LSDance,Unlimited Station,40
The Pluto Trio,Far Out!,78
Icy Demons,Happy New Ears,86
Illogic,The Beauty In Evolution: Vol 1,75
Quiche,Let's Be Friends,75
Los 1995,Guernica,78
Brojob,Talk Shit Get Kissed,24
HuuHaa,Frostient,0
BHL / Kallathon,Camino de Guerra,0
Volahn / Xaxamatza,Gods of Pandemonium,0
Mix-O-Rap,Eyes Of A Key,75
Cosey Fanni Tutti,Time To Tell,82
Noah Cyrus,NC-17,0
MTv,Hollywood EP#1,0
Fede Lijtmaer,Season 1 Episode 1: Here and Now,0
Oceans of Slumber,The Banished Heart,76
Perfect Beings,Vier,89
Blu & Shafiq Husayn,The Blueprint,36
The 1975,Music for Cars,64
Viledriver,Primary,70
Eric Copeland,Mixbone,72
Decrescent,Blackened Bequest,65
Crescent,The Order of Amenti,80
Sisare,Leaving the Land,78
Wasuremono,Something Left Behind,76
Helmut Lachenmann Yuko Kakuta Yukiko Sugawara & Trio Recherche,Got Lost,57
De Jeugd Van Tegenwoordig,Leuk,57
BOYO,Me Again,78
Olivia Kaplan,At The Seams - EP,79
Death Grips,Year of the Snitch,1
The Fin.,There,74
RUR,RUR,83
Solveris,Vida Classica,78
Galvanizer,Sanguine Vigil,73
Inferi,Revenant,30
Loretta Lynn,Wouldn't It Be Great,0
Royce da 5'9'',Book of Ryan,0
Post.23,Whispers,0
S & M Trading Co.,Metal Surface Repair,0
Fall Out Boy,LLAMANIA,0
Brockhampton,PUPPY,0
Miles Kane,Coup De Grace,0
Dirty Projectors,Lamp Lit Prose,0
Deerhunter,Why Hasn't Everything Already Disappeared?,0
King Gizzard and the Lizard Wizard,Gumboot Soup,76
Sidney Gish,No Dogs Allowed,77
Pleasure Plateau,Memory Foam,78
Fushou.,Organics.,55
Organ Tapes,Into One Name,86
Alex Somers,Black Mirror: Hang the DJ (Music from the Original TV Series),77
Conan Osiris,Adoro Bolos,70
Francis and the Lights,Just for Us,61
Avi Buffalo,2017,58
Daniel Munoz,Until Next Time,100
J.I.D,Para Tu,76
Loren Jamal,Loren,60
HKE,Sacred Code (Encrypted),80
Nortt,Endeligt,0
B-Free,Free From Seoul Deluxe Version,0
LE$,Chico,0
OJ Da Juiceman,32 Trenches,0
Harvard WingTip Collection,08/07/1982,0
Leafar Legov,Family,90
Chihei Hatakeyama,far from the atmosphere,0
Ether Bunny,Attention Please,0
Robb Bank$,2 Pillz,0
Younha,Rescue,63
Lala Hsu,Xin Li Xue ,41
APink,Pink Stories,68
Silent Siren,Girls Power,63
HKT48,92,63
t e l e p a t h & Agia,The Light of Our Love,70
EXO,Universe,69
Drakeo The Ruler,Cold Devil,79
Isac Elliot,FAITH,75
Yowda & Mozzy,Hell Made,72
Lil Wayne,Dedication 6,64
Conway,G.O.A.T.,65
Futuristic,Blessings,66
Unknown Mortal Orchestra,SB-05,68
Lakker,Die Vergangenheit die Gegenwart die Zukunft,72
Famous Dex,Read About It,26
Booji Boys,Weekend Rocker,70
Runt,Positions Of Power,65
Myler,Lord Of The Asbo,91
Morrow,Fallow,86
Foxygen,Hang Demos,77
HIFA,Cu Duro E Dm,83
Nissy,Hocus Pocus 2,65
Quavo & Travis Scott,Huncho Jack Jack Huncho,63
Gucci Mane,El Gato the Human Glacier,72
Bones,Carcass,72
NPVR,33 33,60
Avenged Sevenfold,The Stage (Deluxe Edition),77
Hack The Mainframe,Disorders of Consciousness,40
Substantial,Seeds EP,76
Malia,Zum Zum Zum,75
OJ Son,Rose,69
Vagrant Real Estate,As Much As I Used To,65
Philthy Rich & Stevie Joe,Philthy Fresh 3,0
LAY,Winter Special Gift,0
Talis E Welinton,Mulher Nao E Boba,0
Crywank,Egg on face. Foot in mouth. Wriggling Wriggling Wriggling.,80
Emily A. Sprague,Water Memory,76
Rubber Soul,Shake The Speare!,71
Jeremih & Chance The Rapper,Merry Christmas Lil' Mama Re-Wrapped,82
Daoko,Thank You Blue,34
Daoko,chiyamupointo,33
Giriboy,joleobsig,69
Superfly,LOVE PEACE & FIRE - Deluxe Edition -,20
Kranksvester,Kranksvester IV,28
Wand,From a Capsule Underground,75
Mary Newsletter,Distratto dal Sole,88
Chris Webby,Wednesday,56
Sun Ra,Sun Ra Plays Gershwin,66
K.A.A.N.,The Black Blood LP,72
P.E.A.R.L.,Body Arched,94
Oxhead,...And The Quiet Seemed To Shake,89
Esthero & Noise Club,You're a Mean One Mr Grinch,0
Soda Lilies,Sleep Reel,87
Taken By Trees,Holiday,0
The Alchemist,French Blend,73
A$AP Ferg & Nicki Minaj,Plain Jane (REMIX),80
Alexander,Alexander,76
Esperanza Spalding,Exposure,77
Brockhampton,Saturation III,80
Charli XCX,Pop 2,79
Eminem,Revival,51
N.E.R.D.,No_One Ever Really Dies,69
G-Eazy,The Beautiful and Damned,57
Jeezy,Pressure,66
Special Explosion,To Infinity,75
Linkin Park,One More Light Live,80
Asking Alexandria,Asking Alexandria,60
Sawce,Sawce,73
Boosie Badazz,BooPac,72
Hater,Red Blinders,75
Brockhampton,Saturation Drafts,74
Various Artists,Bright: The Album,51
Serpent Power,Electric Looneyland,70
The Transcendence Orchestra,Modern Methods For Ancient Rituals,72
Parris,2 Vultures,80
Monster Rally,Flowering Jungle,79
Art Feynman,Near Negative,74
Lais,Give Me One More,63
Gasoline Lollipops,Soul Mine,78
Aleksi Perala,Paradox,78
M. Craft,Blood Moon Deconstructed,77
Darren Criss,Homework,66
John Williams,Star Wars: The Last Jedi (Original Motion Picture Soundtrack),55
Brainwaltzera,Remix EP,79
Minors,Atrophy,80
Slim Thug,The World Is Yours,75
Pia Mia,The Gift 2,85
Scarface,Deeply Rooted: The Lost Files,64
Computer Magic,Super Rare,80
Zaytoven,Trapping Made It Happen,59
Bjarki,Geothermal Sheep,71
Claude Speeed,Other Infinities,75
Saian & Kost,Otonom Piyade - Malenkof!,60
SZA & Calvin Harris,The Weekend (Funk Wav Remix),95
Marco Shuttle,Oscillate,81
The 1975,DH00278 (Live From The O2 London 12/16/2016),71
The Khan Jamal Creative Arts Ensemble,Drum Dance to the Motherland,73
Lemuria,Recreational Hate,75
Various Artists,Samurai Music Decade (Phase 1),76
Midnight,Sweet Death and Ecstasy,90
Thelonious Monk,The Complete Prestige 10-Inch LP Collections,90
Panic! at the Disco,All My Friends We're Glorious,0
Omar S,Your Hit Making Papa,0
The Legendary Tigerman,MISFIT,0
POP ETC,A POP ETC Christmas,0
The Spook School,Someone to Spend Christmas With,0
Pablo Lopez,Camino Fuego Y Libertad,0
Bullet Bane,Bullet Bane no Estudio Showlivre,0
Various Artists,Pitch Perfect 3 (Original Motion Picture Soundtrack),0
For All Eternity,The Will To Rebuild,0
Da$h,Loose Skrew,0
Pye Corner Audio,Where Things Are Hollow,0
Sir Rosevelt,Sir Rosevelt,40
Orchestral Manoeuvres In The Dark,The Punishment of Luxury: B Sides & Bonus Material,70
Hamad Kalkaba & The Golden Sound,Hamad Kalkaba & the Golden Sounds 1974-1975,70
RJMrLA & DJ Mustard,The Ghetto,72
Melody McKiver,Reckoning EP,80
Fela Kuti,Vinyl Box Set 4,81
Red Vox,Another Light,72
Yung Bans,Yung Bans Vol. 2,65
Hannah Diamond,Soon I won't see you at all,71
Soyou,Re:born,51
Sway,We Have No Influential Friends,74
Uhm Junghwa,Cloud Dream of the Nine,71
SF9,Sensational Feeling Nine,50
